Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total attempt_Total,total attempts ibox_Total,total duels won_Total,total effective clearance_Total,total mins played,total touches in opposition box_Total,total was fouled_Total,total att assist_Total,total blocked scoring att_Total,total interception_Total,total ontarget attempt_Total,total won tackle_Total,total contest_Total,total dribbles attempted_Total,total won contest_Total,total accurate cross_Total,total attempts obox_Total,total goals_Total,total assists_Total,total big chances saved_Total,total direct corner goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total attempt_p90,total attempts ibox_p90,total duels won_p90,total effective clearance_p90,total touches in opposition box_p90,total was fouled_p90,total att assist_p90,total blocked scoring att_p90,total interception_p90,total ontarget attempt_p90,total won tackle_p90,total contest_p90,total dribbles attempted_p90,total won contest_p90,total accurate cross_p90,total attempts obox_p90,total goals_p90,total assists_p90,total big chances saved_p90,total direct corner goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total att assist_TotalPR,total blocked scoring att_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total won tackle_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total won contest_TotalPR,total accurate cross_TotalPR,total attempts obox_TotalPR,total goals_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total direct corner goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total duels won_p90PR,total effective clearance_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total att assist_p90PR,total blocked scoring att_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total won tackle_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total won contest_p90PR,total accurate cross_p90PR,total attempts obox_p90PR,total goals_p90PR,total assists_p90PR,total big chances saved_p90PR,total direct corner goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,3rw4wlo3rlojg4rs9dri2uyvo,E. Kakou,Emmanuel Kakou,21.0,Defender,Côte d'Ivoire,Defender,56.0,10.0,3.0,66.0,1.0,2.0,2.0,9.0,1.0,152.0,6.0,2.0,1.0,0.0,4.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.54,33.33,0.0,25.0,50.0,47.37,25.0,60.0,0.2435207802165543,0.0,0.0,1.0,0.01685596,0.0,1.0,4.0,0.0865008899999999,37.0,33.1578947368421,5.921052631578948,1.7763157894736843,39.078947368421055,0.5921052631578947,1.1842105263157894,1.1842105263157894,5.328947368421052,0.5921052631578947,3.5526315789473686,1.1842105263157894,0.5921052631578947,0.0,2.3684210526315788,0.5921052631578947,1.7763157894736843,2.3684210526315788,2.3684210526315788,0.5921052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.54,33.33,0.0,25.0,50.0,47.37,25.0,60.0,0.1441899356545387,0.0,0.0,0.5921052631578947,0.0099805026315789,0.0,0.5921052631578947,2.3684210526315788,0.051217632236842,21.907894736842103,CB,46,5,32,24,13,69,79,55,6,87,79,71,37,69,79,67,94,91,76,41,37,45,49,47,51,51,21,23,41,69,78,31,15,54,69,36,37,62,58,32,33,40,36,49,54,5,47,33,13,79,92,72,8,95,81,77,37,82,88,85,95,90,82,41,37,45,49,47,51,51,21,23,41,69,78,31,15,54,87,36,37,65,62,32,33,49,38,54,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,41gpjj5od0ww4rnopzgp1oetw,I. Diakité,Ibrahim Diakité,22.0,Defender,Guinea,Defender,16.0,5.0,0.0,21.0,2.0,2.0,2.0,9.0,7.0,119.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,66.67,0.0,60.0,50.0,66.67,0.2196614479744555,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0116809799999999,5.0,12.100840336134452,3.7815126050420167,0.0,15.882352941176473,1.512605042016807,1.512605042016807,1.512605042016807,6.80672268907563,5.294117647058823,3.0252100840336134,1.512605042016807,0.7563025210084033,0.7563025210084033,0.7563025210084033,0.0,1.512605042016807,2.26890756302521,2.26890756302521,1.512605042016807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,66.67,0.0,60.0,50.0,66.67,0.1661305068714369,0.0,0.7563025210084033,0.0,0.0,0.0,0.7563025210084033,0.7563025210084033,0.0088343546218486,3.7815126050420167,RB/RCB,9,5,7,5,52,64,77,34,59,57,64,43,84,23,39,36,70,70,68,27,39,45,50,52,52,52,23,7,27,59,39,64,59,73,68,20,84,20,20,27,27,18,18,18,18,5,7,5,82,95,95,77,82,86,91,64,100,32,39,59,82,77,82,27,39,45,50,52,52,52,23,7,27,59,39,64,59,73,95,20,100,20,20,27,27,18,18,18,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,49kmr0edzpkmo788p2kt60xzo,I. Diaby,Ibrahima Diaby,19.0,Midfielder,France,Midfielder,33.0,38.0,1.0,71.0,8.0,6.0,5.0,23.0,3.0,270.0,12.0,3.0,4.0,2.0,4.0,3.0,6.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78.89,33.33,0.0,0.0,50.0,51.11,57.14,50.0,0.7201833858079411,0.1433226087462391,0.0,3.0,0.09111866,1.0,4.0,2.0,0.08076266,30.0,11.0,12.666666666666666,0.3333333333333333,23.666666666666668,2.6666666666666665,2.0,1.6666666666666667,7.666666666666667,1.0,4.0,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,2.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,78.89,33.33,0.0,0.0,50.0,51.11,57.14,50.0,0.240061128602647,0.047774202915413,0.0,1.0,0.0303728866666666,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.0269208866666666,10.0,DM/CM,35,39,15,32,95,94,95,94,27,100,66,94,94,82,100,98,74,74,24,37,58,45,48,52,50,50,26,21,37,24,94,45,74,52,94,65,29,68,77,56,23,15,16,32,13,23,8,16,92,90,90,90,13,100,52,81,85,76,100,84,61,61,24,37,48,45,48,52,50,50,26,21,37,24,94,45,74,52,90,65,29,63,68,44,21,13,16,23,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,5iuagsqdiiaadb5yuf7r4vzmc,C. Ravych,Christiaan Ravych,24.0,Defender,Belgium,Defender,92.0,26.0,3.0,118.0,8.0,4.0,4.0,13.0,21.0,270.0,6.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,84.89,23.08,0.0,0.0,25.0,52.0,50.0,25.0,0.4365751875486438,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.1030866599999998,72.0,30.666666666666668,8.666666666666666,1.0,39.333333333333336,2.6666666666666665,1.3333333333333333,1.3333333333333333,4.333333333333333,7.0,2.0,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,84.89,23.08,0.0,0.0,25.0,52.0,50.0,25.0,0.1455250625162145,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0343622199999999,24.0,CB,72,36,32,56,90,91,97,76,92,87,50,71,37,69,79,35,24,24,35,41,37,95,49,47,51,51,33,8,41,35,65,46,51,24,95,36,37,26,26,81,36,33,41,77,49,18,14,36,78,83,96,53,74,72,37,64,37,58,69,26,24,24,35,41,37,94,49,47,51,51,33,8,41,35,65,46,51,24,90,36,37,26,26,72,36,33,33,63,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,7vv4ef3y8swdekozwaent3ai1,D. Vanzeir,Dante Vanzeir,28.0,Attacker,Belgium,Striker,15.0,22.0,1.0,36.0,1.0,7.0,5.0,9.0,1.0,215.0,11.0,0.0,2.0,1.0,3.0,1.0,7.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,65.45,33.33,25.0,0.0,14.29,52.94,33.33,87.5,0.8132867284231643,0.2353455918496509,1.0,2.0,0.0478667,2.0,1.0,4.0,0.15342861,18.0,6.279069767441861,9.209302325581396,0.4186046511627907,15.069767441860463,0.4186046511627907,2.9302325581395348,2.0930232558139537,3.767441860465116,0.4186046511627907,4.604651162790698,0.0,0.8372093023255814,0.4186046511627907,1.255813953488372,0.4186046511627907,2.9302325581395348,1.255813953488372,1.255813953488372,0.0,0.4186046511627907,0.8372093023255814,0.0,0.4186046511627907,0.0,0.0,0.0,65.45,33.33,25.0,0.0,14.29,52.94,33.33,87.5,0.340445607246906,0.0985167593789236,0.4186046511627907,0.8372093023255814,0.0200372232558139,0.8372093023255814,0.4186046511627907,1.6744186046511629,0.0642259297674418,7.534883720930233,ST,71,59,56,64,33,79,71,39,52,53,12,47,52,97,32,100,38,30,12,74,80,33,83,52,52,52,27,47,76,12,21,79,41,85,82,61,52,39,36,73,36,67,61,76,61,48,61,58,33,67,64,33,48,39,12,42,45,97,30,100,33,24,12,70,79,33,85,52,52,52,27,47,76,12,21,79,41,85,67,55,55,39,33,73,30,61,55,70,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,83tew2ypb9l4lyitwfpoezifo,G. Kondo,Geoffrey Kondo,24.0,Defender,France,Defender,87.0,62.0,16.0,148.0,2.0,1.0,0.0,6.0,21.0,270.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,84.57,53.33,33.33,100.0,0.0,37.5,50.0,33.33,0.057197094353332,0.2234451411505767,1.0,2.0,0.0482448,3.0,17.0,28.0,0.6691801199999999,89.0,29.0,20.666666666666668,5.333333333333333,49.333333333333336,0.6666666666666666,0.3333333333333333,0.0,2.0,7.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,84.57,53.33,33.33,100.0,0.0,37.5,50.0,33.33,0.0190656981177773,0.0744817137168589,0.3333333333333333,0.6666666666666666,0.0160815999999999,1.0,5.666666666666667,9.333333333333334,0.22306004,29.666666666666668,CB,64,86,97,74,31,42,19,26,92,33,15,85,37,53,32,35,58,56,76,85,82,45,49,97,51,51,26,69,87,97,32,6,51,29,38,90,85,78,79,88,95,100,92,81,44,63,87,51,17,31,19,6,74,23,15,79,37,44,32,26,53,53,72,82,74,45,49,95,51,51,26,69,87,97,32,6,51,29,33,85,74,73,72,82,85,100,87,72,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,8l7tgpuwr3zne4v92a1lgt2j8,V. Konaté,Valy Konaté,19.0,Defender,Côte d'Ivoire,Defender,29.0,54.0,2.0,82.0,3.0,1.0,1.0,13.0,8.0,255.0,2.0,2.0,1.0,0.0,6.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.39,40.0,7.69,0.0,0.0,54.17,75.0,37.5,0.0634123077997907,0.0604508105627021,0.0,4.0,0.07349349,1.0,11.0,10.0,0.30631399,45.0,10.235294117647058,19.058823529411764,0.7058823529411764,28.94117647058824,1.0588235294117647,0.3529411764705882,0.3529411764705882,4.588235294117647,2.8235294117647056,0.7058823529411764,0.7058823529411764,0.3529411764705882,0.0,2.117647058823529,0.0,1.0588235294117647,0.3529411764705882,0.7058823529411764,0.0,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,80.39,40.0,7.69,0.0,0.0,54.17,75.0,37.5,0.0223808145175731,0.0213355801986007,0.0,1.4117647058823528,0.0259388788235294,0.3529411764705882,3.882352941176471,3.5294117647058822,0.1081108199999999,15.88235294117647,LB/LCB,21,68,26,47,66,42,53,71,66,53,66,42,32,92,37,63,42,55,21,53,32,45,45,53,53,53,53,63,47,21,37,53,92,42,47,42,37,76,74,53,76,66,53,63,16,58,21,32,53,37,47,53,42,58,68,26,32,79,37,47,37,58,21,53,32,45,45,53,53,53,53,63,47,21,37,53,92,42,37,37,37,68,63,53,74,58,37,58,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,8owlntesst4ij1fhpot46udjo,V. Martens,Viggo Martens,19.0,Midfielder,Belgium,Midfielder,10.0,28.0,1.0,36.0,2.0,6.0,2.0,7.0,0.0,229.0,6.0,0.0,2.0,2.0,1.0,2.0,2.0,7.0,7.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,76.6,100.0,40.0,42.86,33.33,35.0,33.33,100.0,0.4180816499983389,0.2510279807713096,4.0,4.0,0.13773599,3.0,1.0,4.0,0.4177005699999999,14.0,3.930131004366813,11.004366812227074,0.3930131004366812,14.148471615720524,0.7860262008733625,2.3580786026200875,0.7860262008733625,2.7510917030567685,0.0,2.3580786026200875,0.0,0.7860262008733625,0.7860262008733625,0.3930131004366812,0.7860262008733625,0.7860262008733625,2.7510917030567685,2.7510917030567685,1.1790393013100438,0.7860262008733625,1.572052401746725,0.0,0.0,0.0,0.0,0.0,76.6,100.0,40.0,42.86,33.33,35.0,33.33,100.0,0.1643115655015306,0.098657285019292,1.572052401746725,1.572052401746725,0.0541320484716157,1.1790393013100438,0.3930131004366812,1.572052401746725,0.1641617960698689,5.502183406113537,LM/LCM,50,75,88,50,88,100,62,38,38,50,38,88,100,75,50,62,75,75,38,100,100,25,62,62,62,62,50,100,100,50,25,50,50,75,100,100,100,50,50,88,50,62,100,50,25,50,75,50,25,75,50,25,38,50,38,50,75,50,25,50,25,25,25,75,75,25,62,62,62,62,50,100,100,50,25,50,50,75,50,50,75,50,50,50,50,50,50,50,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,9f5ne3ea3mfrwh36l51ssw6qc,S. Ngoura,Steve Ngoura,21.0,Attacker,France,Striker,9.0,20.0,0.0,29.0,6.0,9.0,8.0,13.0,1.0,236.0,15.0,3.0,2.0,3.0,1.0,1.0,1.0,7.0,8.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.5,0.0,0.0,42.86,11.11,38.24,50.0,100.0,0.9532942561747206,0.2079762257308604,5.0,5.0,0.1766614,1.0,1.0,2.0,0.12319172,15.0,3.4322033898305087,7.627118644067797,0.0,11.059322033898304,2.288135593220339,3.4322033898305087,3.0508474576271185,4.957627118644068,0.3813559322033898,5.720338983050848,1.1440677966101696,0.7627118644067796,1.1440677966101696,0.3813559322033898,0.3813559322033898,0.3813559322033898,2.669491525423729,3.0508474576271185,1.1440677966101696,0.0,0.3813559322033898,0.3813559322033898,0.0,0.0,0.0,0.0,72.5,0.0,0.0,42.86,11.11,38.24,50.0,100.0,0.3635444197276476,0.0793129674397349,1.9067796610169487,1.9067796610169487,0.0673708728813559,0.3813559322033898,0.3813559322033898,0.7627118644067796,0.0469798932203389,5.720338983050848,ST,48,50,23,45,68,92,91,62,52,82,67,47,91,70,32,62,73,79,73,33,61,73,36,52,52,52,39,23,33,44,18,36,65,94,85,58,97,73,73,50,36,53,58,70,36,33,23,33,64,76,79,45,45,61,55,33,88,67,24,58,67,67,67,33,55,70,36,52,52,52,39,23,33,44,18,36,65,94,76,48,91,67,67,39,24,48,52,64,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,ditnpqgspoih5ich7c5vn44fe,G. Magnée,Gary Magnée,26.0,Defender,Belgium,Defender,23.0,47.0,3.0,59.0,1.0,2.0,1.0,9.0,5.0,244.0,7.0,1.0,10.0,1.0,7.0,0.0,3.0,10.0,10.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,72.84,25.0,36.67,30.0,0.0,40.91,50.0,75.0,0.2167320710745396,1.160769818817177,1.0,2.0,0.07613267,1.0,7.0,5.0,0.4655407599999998,34.0,8.48360655737705,17.33606557377049,1.1065573770491803,21.762295081967213,0.3688524590163934,0.7377049180327868,0.3688524590163934,3.319672131147541,1.8442622950819672,2.581967213114754,0.3688524590163934,3.6885245901639343,0.3688524590163934,2.581967213114754,0.0,1.1065573770491803,3.6885245901639343,3.6885245901639343,1.1065573770491803,4.057377049180328,0.3688524590163934,0.0,0.0,0.0,0.0,0.0,72.84,25.0,36.67,30.0,0.0,40.91,50.0,75.0,0.0799421573635596,0.4281528020227291,0.3688524590163934,0.7377049180327868,0.0280817225409836,0.3688524590163934,2.581967213114754,1.8442622950819672,0.1717158540983605,12.540983606557376,CB,14,64,32,17,13,69,54,55,19,94,50,100,79,97,32,67,100,100,97,100,82,45,49,47,51,51,5,12,90,72,32,13,51,73,67,100,85,78,82,69,73,47,82,41,5,49,23,3,8,62,46,28,13,90,51,95,79,90,32,64,100,100,92,100,79,45,49,47,51,51,5,12,90,72,32,13,51,73,54,97,82,77,82,67,59,41,79,31,Pro League
