Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total aerial won_Total,total duels won_Total,total mins played,total was fouled_Total,total accurate cross_Total,total accurate long balls_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total effective clearance_Total,total goals_Total,total interception_Total,total ontarget attempt_Total,total touches in opposition box_Total,total won tackle_Total,total won contest_Total,total assists_Total,total big chances saved_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total aerial won_p90,total duels won_p90,total was fouled_p90,total accurate cross_p90,total accurate long balls_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total won tackle_p90,total won contest_p90,total assists_p90,total big chances saved_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total duels won_TotalPR,total was fouled_TotalPR,total accurate cross_TotalPR,total accurate long balls_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total won tackle_TotalPR,total won contest_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total duels won_p90PR,total was fouled_p90PR,total accurate cross_p90PR,total accurate long balls_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total won tackle_p90PR,total won contest_p90PR,total assists_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
AB,1uovb0izovmuzdhoq7eyk3ou3,1x74ueydb3hpmz8tkzblt68oa,Gabriel Noga,Gabriel Rodrigues Noga,24.0,Defender,Brazil,Defender,39.0,7.0,46.0,4.0,7.0,132.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,8.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,82.14,25.0,0.0,0.0,0.0,41.18,36.36,100.0,0.2164778579044048,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.03252075,23.0,26.590909090909093,4.772727272727273,31.363636363636367,2.7272727272727275,4.772727272727273,1.3636363636363638,0.0,1.3636363636363638,0.0,1.3636363636363638,1.3636363636363638,0.0,0.6818181818181819,0.0,0.0,5.454545454545455,0.0,2.0454545454545454,0.0,1.3636363636363638,0.6818181818181819,0.0,0.0,0.0,0.0,82.14,25.0,0.0,0.0,0.0,41.18,36.36,100.0,0.147598539480276,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.0221732386363636,15.681818181818183,CB,15,3,8,25,6,56,40,10,19,39,51,31,75,15,15,19,38,29,21,22,14,28,43,42,51,39,11,40,28,21,8,11,92,39,21,32,15,15,22,8,17,14,17,50,3,17,61,44,86,40,14,19,75,94,31,100,15,15,53,38,81,21,47,42,28,43,42,51,39,11,40,28,21,8,11,92,78,21,32,15,15,22,8,22,14,25,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,2lvkvn7fds2seqd882lv90mc4,N. Ibsen,Noah Ibsen,20.0,Defender,Denmark,Defender,17.0,16.0,33.0,6.0,7.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.5,42.86,0.0,0.0,0.0,70.0,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,33.0,6.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.5,42.86,0.0,0.0,0.0,70.0,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,3,8,3,36,6,8,40,17,19,10,10,31,33,15,15,33,38,15,21,6,14,28,43,42,51,50,58,40,28,21,89,89,92,8,21,32,15,15,22,8,8,7,7,17,44,22,90,81,8,40,64,19,10,10,31,33,15,15,100,38,78,21,6,60,28,43,42,51,50,58,40,28,21,89,89,92,8,21,32,15,15,22,8,8,7,7,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,Marc Dal Hende,35.0,Defender,Denmark,Defender,85.0,83.0,168.0,13.0,18.0,360.0,1.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,78.14,39.13,0.0,0.0,0.0,58.06,65.0,25.0,0.0,0.2654687160091378,0.0,1.0,0.06442595,0.0,23.0,25.0,0.55566947,105.0,21.25,20.75,42.0,3.25,4.5,0.25,0.0,4.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,1.75,0.0,0.75,0.25,0.0,0.0,0.0,0.0,78.14,39.13,0.0,0.0,0.0,58.06,65.0,25.0,0.0,0.0663671790022844,0.0,0.25,0.0161064875,0.0,5.75,6.25,0.1389173675,26.25,CB,47,53,49,74,56,31,40,81,67,10,10,31,33,15,15,57,38,65,21,35,14,28,43,42,51,17,49,40,28,21,47,83,10,8,72,32,38,64,22,71,69,67,56,33,64,44,67,36,36,40,83,69,10,10,31,33,15,15,58,38,67,21,28,14,28,43,42,51,17,49,40,28,21,47,83,10,8,75,32,33,61,22,81,74,72,53,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,4m23g10w898skztiwfiedqcd0,M. Vesterholm,Marco Vesterholm,27.0,Midfielder,Denmark,Midfielder,37.0,76.0,112.0,3.0,19.0,214.0,8.0,1.0,8.0,5.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,79.43,53.33,25.0,100.0,0.0,51.35,30.0,50.0,0.0575171040147021,0.3847430324292031,1.0,8.0,0.20160264,5.0,13.0,15.0,0.39162998,69.0,15.5607476635514,31.962616822429908,47.10280373831776,1.2616822429906542,7.990654205607477,3.364485981308411,0.4205607476635514,3.364485981308411,2.102803738317757,0.4205607476635514,0.0,0.4205607476635514,0.0,0.8411214953271028,0.8411214953271028,0.8411214953271028,0.0,1.2616822429906542,0.0,1.6822429906542056,1.2616822429906542,0.8411214953271028,0.0,0.0,0.0,79.43,53.33,25.0,100.0,0.0,51.35,30.0,50.0,0.0241894362678653,0.1618078173767676,0.4205607476635514,3.364485981308411,0.0847861570093457,2.102803738317757,5.4672897196261685,6.308411214953271,0.1647041971962616,29.01869158878505,CM/AM,62,54,50,48,65,85,50,77,40,6,8,33,19,15,13,42,31,63,8,23,63,40,37,50,50,42,65,52,98,8,73,35,44,4,31,44,54,50,75,54,60,54,81,73,96,96,62,92,96,46,92,58,8,8,31,19,19,15,54,31,77,8,31,77,58,37,50,50,42,65,52,98,8,73,35,44,8,46,46,85,77,92,88,85,69,100,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,4po6qfkmrc30lep6z6ka5db10,M. Rasmussen,Milan Rasmussen,23.0,Attacker,Denmark,Striker,22.0,54.0,74.0,1.0,9.0,423.0,1.0,2.0,0.0,1.0,16.0,10.0,6.0,1.0,11.0,11.0,1.0,4.0,0.0,10.0,18.0,2.0,4.0,0.0,0.0,0.0,71.84,0.0,100.0,36.36,62.5,31.03,16.67,66.67,1.9767739749180315,0.0562877454010775,5.0,8.0,0.20092161,2.0,4.0,6.0,0.16832423,25.0,4.680851063829787,11.48936170212766,15.74468085106383,0.2127659574468085,1.9148936170212765,0.2127659574468085,0.425531914893617,0.0,0.2127659574468085,3.404255319148936,2.127659574468085,1.276595744680851,0.2127659574468085,2.3404255319148937,2.3404255319148937,0.2127659574468085,0.851063829787234,0.0,2.127659574468085,3.829787234042553,0.425531914893617,0.851063829787234,0.0,0.0,0.0,71.84,0.0,100.0,36.36,62.5,31.03,16.67,66.67,0.4205902074293683,0.0119761160427824,1.0638297872340423,1.702127659574468,0.0427492787234042,0.425531914893617,0.851063829787234,1.276595744680851,0.0358136659574468,5.319148936170213,ST,72,74,69,13,22,13,85,15,13,81,80,89,33,94,93,28,98,28,94,63,69,83,37,52,50,48,15,100,39,96,20,15,54,89,11,85,80,59,54,48,63,48,63,37,59,48,11,7,11,81,15,7,63,67,78,26,85,85,22,89,28,93,41,52,74,37,52,50,48,15,100,39,96,20,15,54,78,7,78,63,48,44,30,48,33,56,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,4z0ebjgc0s506zay6ekwf5gmi,A. Liu,Aidan Liu,26.0,Defender,USA,Defender,95.0,32.0,127.0,22.0,29.0,302.0,3.0,0.0,10.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,25.0,0.0,4.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,79.38,45.45,0.0,0.0,0.0,72.5,75.86,100.0,0.5779960016909651,0.0,0.0,2.0,0.03379056,0.0,6.0,7.0,0.1771074899999999,78.0,28.311258278145694,9.536423841059602,37.847682119205295,6.556291390728477,8.642384105960264,0.8940397350993378,0.0,2.980132450331126,0.0,1.1920529801324502,1.1920529801324502,0.0,0.2980132450331125,0.0,0.0,7.450331125827814,0.0,1.1920529801324502,0.0,2.3841059602649004,1.1920529801324502,0.0,0.0,0.0,0.0,79.38,45.45,0.0,0.0,0.0,72.5,75.86,100.0,0.1722504640800889,0.0,0.0,0.5960264900662251,0.010070034437086,0.0,1.7880794701986755,2.086092715231788,0.0527803778145695,23.24503311258278,CB,53,32,39,93,88,72,40,51,19,67,76,31,75,15,15,64,38,42,21,72,69,28,43,42,51,28,62,40,28,21,94,100,92,81,21,32,53,42,22,38,33,31,40,56,17,39,97,94,69,40,58,19,67,78,31,78,15,15,89,38,33,21,78,72,28,43,42,51,28,62,40,28,21,94,100,92,86,21,32,56,50,22,36,33,31,44,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,5crdnyx54gw8u104sjprb7das,N. Engell,Noah Engell Christensen,22.0,Attacker,Denmark,Striker,19.0,85.0,100.0,7.0,20.0,332.0,6.0,4.0,7.0,8.0,5.0,2.0,3.0,0.0,11.0,12.0,2.0,1.0,0.0,2.0,9.0,3.0,4.0,0.0,0.0,1.0,70.42,70.0,33.33,36.36,40.0,43.48,43.75,100.0,0.5145121268691168,0.765656117966165,1.0,11.0,0.30816946,8.0,11.0,20.0,0.5700728399999999,50.0,5.150602409638554,23.0421686746988,27.10843373493976,1.897590361445783,5.421686746987952,1.6265060240963851,1.0843373493975903,1.897590361445783,2.1686746987951806,1.355421686746988,0.5421686746987951,0.8132530120481927,0.0,2.9819277108433733,3.2530120481927707,0.5421686746987951,0.2710843373493976,0.0,0.5421686746987951,2.439759036144578,0.8132530120481927,1.0843373493975903,0.0,0.0,0.2710843373493976,70.42,70.0,33.33,36.36,40.0,43.48,43.75,100.0,0.1394761789705437,0.20755738137637,0.2710843373493976,2.9819277108433733,0.0835399138554216,2.1686746987951806,2.9819277108433733,5.421686746987952,0.1545378180722891,13.55421686746988,ST,61,93,85,61,69,72,96,89,94,22,20,56,13,94,96,44,61,28,46,26,83,83,37,52,100,37,63,83,39,61,67,63,83,26,96,35,93,89,100,96,96,81,89,41,93,89,63,69,70,96,85,93,22,11,59,13,93,93,41,67,28,37,19,78,85,37,52,100,37,63,83,39,61,67,63,83,22,93,33,93,85,100,93,96,81,89,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,6hms8o682fsh33l3hp4qo39ey,C. Grening,Casper Dirch Hagel Grening,25.0,Attacker,Denmark,Striker,6.0,33.0,39.0,3.0,3.0,225.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,6.0,8.0,1.0,1.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,68.42,50.0,0.0,0.0,100.0,14.29,33.33,0.0,0.2098993016180803,0.1986214942347018,0.0,7.0,0.204678,4.0,2.0,6.0,0.12430967,13.0,2.4,13.2,15.6,1.2,1.2,0.0,0.0,1.6,0.8,0.8,0.8,0.0,0.0,2.4,3.2,0.4,0.4,0.8,0.8,5.2,0.0,0.0,0.0,0.0,0.0,68.42,50.0,0.0,0.0,100.0,14.29,33.33,0.0,0.0839597206472321,0.0794485976938807,0.0,2.8,0.0818712,1.6,0.8,2.4,0.049723868,5.2,LW,14,29,29,86,14,14,21,71,21,29,29,21,14,36,57,36,57,71,36,43,29,29,36,57,50,14,43,21,29,100,14,50,29,29,29,14,43,43,50,36,57,29,21,14,29,14,86,14,14,21,100,29,14,14,21,14,57,71,43,71,100,43,71,29,29,36,57,50,14,43,21,29,100,14,50,29,29,29,14,43,43,57,29,43,29,14,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,7pdl6jqfaq1x1trdi5k30wsus,O. Mullings,O'Vonte Mullings,25.0,Attacker,Canada,Striker,15.0,62.0,76.0,3.0,25.0,450.0,11.0,1.0,1.0,7.0,7.0,7.0,0.0,3.0,11.0,13.0,7.0,0.0,2.0,3.0,22.0,3.0,6.0,3.0,0.0,0.0,78.35,25.0,33.33,54.55,42.86,55.56,42.86,60.0,0.7206026457792871,0.7747058663382226,1.0,14.0,0.4275725199999999,3.0,8.0,12.0,1.00402636,36.0,3.0,12.4,15.2,0.6,5.0,2.2,0.2,0.2,1.4,1.4,1.4,0.0,0.6,2.2,2.6,1.4,0.0,0.4,0.6,4.4,0.6,1.2,0.6,0.0,0.0,78.35,25.0,33.33,54.55,42.86,55.56,42.86,60.0,0.1441205291558574,0.1549411732676445,0.2,2.8,0.0855145039999999,0.6,1.6,2.4,0.2008052719999999,7.2,RW,33,100,67,67,100,100,33,33,100,100,100,33,100,83,100,67,33,67,100,100,67,67,100,67,67,67,33,67,33,67,67,67,33,100,100,67,100,100,100,33,67,100,100,33,33,33,67,67,100,33,33,67,67,67,33,67,67,67,67,33,67,67,67,67,67,100,67,67,67,33,67,33,67,67,67,33,67,67,33,67,67,67,33,33,67,67,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,7zr3gif60ntltgt3s5yi6qjca,T. Sousa,Travian Sousa,24.0,Defender,USA,Defender,39.0,46.0,81.0,4.0,11.0,279.0,3.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,10.0,0.0,3.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,75.7,16.67,21.05,100.0,0.0,57.89,50.0,100.0,0.1382376104674028,0.2235246033422038,0.0,0.0,0.0,2.0,6.0,14.0,0.48173356,44.0,12.580645161290322,14.838709677419354,26.12903225806452,1.2903225806451613,3.548387096774193,0.9677419354838708,1.2903225806451613,0.6451612903225806,0.9677419354838708,0.3225806451612903,0.3225806451612903,0.0,0.0,0.3225806451612903,0.6451612903225806,3.225806451612903,0.0,0.9677419354838708,0.0,1.6129032258064515,0.9677419354838708,0.3225806451612903,0.0,0.3225806451612903,0.0,75.7,16.67,21.05,100.0,0.0,57.89,50.0,100.0,0.0445927775701299,0.0721047107555496,0.0,0.0,0.0,0.6451612903225806,1.935483870967741,4.516129032258064,0.1553979225806451,14.193548387096774,LB/LCB,17,25,17,62,17,33,58,25,38,46,62,29,25,25,38,54,50,67,38,42,46,62,38,92,54,50,33,33,96,38,67,62,96,67,33,25,17,17,33,33,50,33,42,42,25,25,58,33,33,83,25,42,58,75,29,25,33,50,75,50,83,38,50,42,75,38,100,54,50,33,33,96,38,67,62,96,75,33,25,17,17,33,33,75,50,67,Danish 2nd Tier
