Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total won contest_Total,total interception_Total,total won tackle_Total,total blocked scoring att_Total,total was fouled_Total,total big chances saved_Total,total direct setpiece goals_Total,total goals_Total,total assists_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total ontarget attempt_p90,total touches in opposition box_p90,total won contest_p90,total interception_p90,total won tackle_p90,total blocked scoring att_p90,total was fouled_p90,total big chances saved_p90,total direct setpiece goals_p90,total goals_p90,total assists_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total won contest_TotalPR,total interception_TotalPR,total won tackle_TotalPR,total blocked scoring att_TotalPR,total was fouled_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,total goals_TotalPR,total assists_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total won contest_p90PR,total interception_p90PR,total won tackle_p90PR,total blocked scoring att_p90PR,total was fouled_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,total goals_p90PR,total assists_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,2p86mzr8qnu9iy01fusvovf56,António Silva,António João Pereira de Albuquerque Tavares da Silva,22,Defender,Portugal,Defender,27.0,0.0,9.0,1.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.31,50.0,0.0,0.0,0.0,25.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,9.0,1.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.31,50.0,0.0,0.0,0.0,25.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,49,47,27,28,33,26,38,29,33,44,38,38,8,97,44,22,45,27,26,41,26,51,51,50,50,69,56,47,45,44,17,42,26,33,41,47,38,38,41,29,29,28,28,49,47,27,28,33,26,38,29,33,44,38,38,8,97,44,22,45,27,26,41,26,51,51,50,50,69,56,47,45,44,17,42,26,33,41,47,38,38,41,29,29,28,28,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,80bmtj7l07ohb2h475w955n9,A. Smith,Adam Smith,35,Defender,England,Defender,8.0,0.0,5.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,90.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,76.47,25.0,0.0,0.0,0.0,50.0,33.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,76.47,25.0,0.0,0.0,0.0,50.0,33.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB/RCB,17,42,12,54,8,54,33,29,42,42,29,29,71,33,46,25,38,92,71,38,96,54,54,54,46,42,62,42,38,46,46,50,79,38,42,42,38,38,46,42,33,33,33,17,42,12,54,8,54,33,29,42,42,29,29,71,33,46,25,38,92,71,38,96,54,54,54,46,42,62,42,38,46,46,50,79,38,42,42,38,38,46,42,33,33,33,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,92qqdiryqd8juqdjq8585476y,A. Truffert,Adrien Truffert,24,Defender,France,Defender,16.0,0.0,7.0,1.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,90.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.19,33.33,0.0,100.0,0.0,40.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,7.0,1.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.19,33.33,0.0,100.0,0.0,40.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,73,33,10,47,27,37,30,43,47,50,60,57,47,67,47,20,83,27,50,50,30,50,53,50,53,73,27,33,87,47,30,70,53,43,33,50,33,33,30,27,27,27,27,73,33,10,47,27,37,30,43,47,50,60,57,47,67,47,20,83,27,50,50,30,50,53,50,53,73,27,33,87,47,30,70,53,43,33,50,33,33,30,27,27,27,27,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,9ea8t509bssf2bhp1n5xxvrl6,J. Hill,James Hill,24,Defender,England,Defender,31.0,0.0,9.0,7.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.11,70.0,0.0,0.0,0.0,50.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,9.0,7.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.11,70.0,0.0,0.0,0.0,50.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,59,47,27,95,38,50,38,29,33,44,38,38,36,60,44,22,45,27,26,41,26,51,51,50,50,38,82,47,45,44,44,81,26,33,41,47,38,38,41,29,29,28,28,59,47,27,95,38,50,38,29,33,44,38,38,36,60,44,22,45,27,26,41,26,51,51,50,50,38,82,47,45,44,44,81,26,33,41,47,38,38,41,29,29,28,28,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,b3gobhr43y8oxpafvp4f8rgmh,M. Tavernier,Marcus Tavernier,27,Midfielder,England,Midfielder,11.0,1.0,13.0,3.0,23.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,90.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,85.19,100.0,33.33,0.0,50.0,50.0,50.0,50.0,0.2008480897835738,0.1295002242135057,1.0,4.0,0.0894367899999999,1.0,1.0,2.0,0.04413414,5.0,11.0,1.0,13.0,3.0,23.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,85.19,100.0,33.33,0.0,50.0,50.0,50.0,50.0,0.2008480897835738,0.1295002242135057,1.0,4.0,0.0894367899999999,1.0,1.0,2.0,0.04413414,5.0,CM/AM,39,78,33,67,33,72,61,56,83,56,39,39,89,67,78,22,44,39,56,39,83,56,50,89,50,89,100,94,44,89,61,89,50,100,78,67,78,78,61,28,50,22,22,39,78,33,67,33,72,61,56,83,56,39,39,89,67,78,22,44,39,56,39,83,56,50,89,50,89,100,94,44,89,61,89,50,100,78,67,78,78,61,28,50,22,22,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,mfsus6ryni5b1hjn0y70sbo4,A. Scott,Alex Scott,23,Midfielder,England,Midfielder,19.0,0.0,19.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,90.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,80.85,66.67,0.0,0.0,0.0,83.33,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,80.85,66.67,0.0,0.0,0.0,83.33,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,38,35,54,96,46,38,23,38,46,46,27,27,62,31,42,38,35,58,85,50,35,54,54,50,46,23,69,35,35,42,96,50,54,46,27,50,35,35,42,31,27,27,27,38,35,54,96,46,38,23,38,46,46,27,27,62,31,42,38,35,58,85,50,35,54,54,50,46,23,69,35,35,42,96,50,54,46,27,50,35,35,42,31,27,27,27,Premier League
Arsenal,4dsgumo7d4zupm2ugsvm4zm4d,6o76owze8y78ue9sb49g8kyz8,Cristhian Mosquera,Cristhian Mosquera,22,Defender,Spain,Defender,49.0,0.0,13.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,90.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.38,0.0,0.0,100.0,0.0,40.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,13.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.38,0.0,0.0,100.0,0.0,40.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,87,47,44,8,71,26,38,29,33,44,86,86,21,60,44,22,94,64,26,41,26,51,51,50,50,90,8,47,95,44,23,42,26,33,41,47,38,38,41,29,29,28,28,87,47,44,8,71,26,38,29,33,44,86,86,21,60,44,22,94,64,26,41,26,51,51,50,50,90,8,47,95,44,23,42,26,33,41,47,38,38,41,29,29,28,28,Premier League
Arsenal,4dsgumo7d4zupm2ugsvm4zm4d,8libvn3hxypz8x7gm4mr7kj55,Gabriel Magalhães,Gabriel dos Santos Magalhães,28,Defender,Brazil,Defender,35.0,0.0,19.0,1.0,54.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,94.74,50.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,19.0,1.0,54.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,94.74,50.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,67,47,51,28,59,8,38,68,33,94,38,38,21,29,44,22,45,64,26,41,87,51,51,50,50,79,56,47,45,44,13,15,26,33,41,47,38,38,41,29,29,28,28,67,47,51,28,59,8,38,68,33,94,38,38,21,29,44,22,45,64,26,41,87,51,51,50,50,79,56,47,45,44,13,15,26,33,41,47,38,38,41,29,29,28,28,Premier League
Arsenal,4dsgumo7d4zupm2ugsvm4zm4d,azt1lhru9cgyb64h4h4fffrx0,M. Lewis-Skelly,Myles Lewis-Skelly,19,Defender,England,Defender,32.0,0.0,45.0,3.0,77.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,90.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,95.06,100.0,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,45.0,3.0,77.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,95.06,100.0,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,62,47,90,65,85,26,83,68,33,94,38,38,59,4,44,83,45,27,26,41,99,51,51,50,50,82,99,47,45,44,99,15,26,33,41,47,38,38,41,29,29,28,28,62,47,90,65,85,26,83,68,33,94,38,38,59,4,44,83,45,27,26,41,99,51,51,50,50,82,99,47,45,44,99,15,26,33,41,47,38,38,41,29,29,28,28,Premier League
Arsenal,4dsgumo7d4zupm2ugsvm4zm4d,cnmlhoum9aahwqruxgmz2gcfd,B. White,Ben White,28,Defender,England,Defender,27.0,0.0,47.0,2.0,74.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,90.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,94.87,50.0,0.0,0.0,0.0,57.14,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,47.0,2.0,74.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,94.87,50.0,0.0,0.0,0.0,57.14,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB/RCB,92,42,100,83,100,88,83,75,92,42,29,29,42,54,46,100,38,54,71,88,21,54,54,54,96,100,88,42,38,46,71,67,79,38,42,42,38,38,46,42,33,33,33,92,42,100,83,100,88,83,75,92,42,29,29,42,54,46,100,38,54,71,88,21,54,54,54,96,100,88,42,38,46,71,67,79,38,42,42,38,38,46,42,33,33,33,Premier League
