Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total big chances saved_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total big chances saved_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Oulu,cy6zs39z79dcfbr4xzkp38z7q,18xd5tutfsezwq4bxdbuc4b9w,I. Mendolin,Iiro Mendolin,20.0,Midfielder,Finland,Midfielder,239.0,1.0,280.0,39.0,518.0,25.0,1.0,12.0,18.0,8.0,10.0,8.0,22.0,24.0,110.0,36.0,1.0,31.0,1587.0,5.0,25.0,29.0,12.0,21.0,0.0,0.0,0.0,78.72,60.0,12.5,54.55,27.78,52.63,53.19,46.67,1.2335755787670792,0.8653604760785615,5.0,20.0,0.517441,5.0,55.0,57.0,1.1359245500000006,235.0,13.553875236294896,0.0567107750472589,15.879017013232517,2.2117202268431004,29.376181474480152,1.4177693761814745,0.0567107750472589,0.6805293005671078,1.0207939508506616,0.4536862003780718,0.5671077504725898,0.4536862003780718,1.2476370510396977,1.3610586011342156,6.238185255198488,2.041587901701323,0.0567107750472589,1.7580340264650285,0.2835538752362949,1.4177693761814745,1.6446124763705103,0.6805293005671078,1.1909262759924386,0.0,0.0,0.0,78.72,60.0,12.5,54.55,27.78,52.63,53.19,46.67,0.0699570271512521,0.0490752632936802,0.2835538752362949,1.1342155009451795,0.0293444801512287,0.2835538752362949,3.119092627599244,3.232514177693762,0.0644191616257089,13.32703213610586,DM/CM,52,39,55,73,52,94,71,62,80,83,74,82,88,88,100,88,67,95,79,82,97,88,79,45,52,52,12,88,41,73,59,62,76,15,70,61,59,58,64,38,55,55,45,52,12,39,24,55,15,85,67,39,64,67,64,76,67,70,88,79,61,91,64,55,76,79,55,45,52,52,12,88,41,73,59,62,76,15,55,36,33,30,36,24,39,36,9,15,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,33va022bhya45v496wz8usn6y,O. Kemppainen,Otto Kemppainen,22.0,Defender,Finland,Defender,151.0,3.0,131.0,16.0,279.0,6.0,1.0,5.0,2.0,1.0,1.0,1.0,20.0,21.0,43.0,40.0,0.0,11.0,922.0,1.0,5.0,9.0,10.0,12.0,0.0,0.0,0.0,82.3,41.03,16.67,50.0,50.0,46.74,33.33,66.67,0.1476451221223742,0.45966920362684,1.0,24.0,0.629915,14.0,18.0,23.0,0.7969225900000004,130.0,14.739696312364426,0.2928416485900217,12.787418655097614,1.5618221258134493,27.23427331887202,0.5856832971800434,0.0976138828633405,0.4880694143167028,0.1952277657266811,0.0976138828633405,0.0976138828633405,0.0976138828633405,1.952277657266812,2.049891540130152,4.197396963123644,3.904555314533623,0.0,1.0737527114967462,0.0976138828633405,0.4880694143167028,0.8785249457700651,0.9761388286334056,1.1713665943600868,0.0,0.0,0.0,82.3,41.03,16.67,50.0,50.0,46.74,33.33,66.67,0.014412213656197,0.0448700957987154,0.0976138828633405,2.3427331887201737,0.0614884490238611,1.366594360086768,1.7570498915401302,2.245119305856833,0.07779070835141,12.689804772234275,RB/RCB,48,43,48,55,43,50,64,50,24,29,40,62,76,76,52,76,38,67,40,21,48,81,50,48,52,52,67,71,24,55,69,24,14,76,19,52,43,83,86,86,43,45,48,52,38,33,29,48,38,24,62,52,24,24,38,67,76,76,48,86,38,67,43,10,48,81,43,48,52,52,67,71,24,55,69,24,14,76,19,52,38,86,86,90,29,24,24,38,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,Mikko Pitkänen,29.0,Defender,Finland,Defender,274.0,0.0,121.0,28.0,395.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,45.0,47.0,0.0,4.0,905.0,1.0,3.0,6.0,4.0,13.0,0.0,0.0,0.0,81.95,40.0,0.0,66.67,100.0,55.56,44.44,68.42,0.1378752255490449,0.0536128491227603,0.0,3.0,0.06738174,1.0,23.0,24.0,0.5154741299999999,241.0,27.248618784530382,0.0,12.033149171270718,2.7845303867403315,39.28176795580111,1.591160220994475,0.0,0.0994475138121546,0.0994475138121546,0.0994475138121546,0.0,0.0,0.5966850828729282,0.5966850828729282,4.475138121546961,4.674033149171271,0.0,0.3977900552486187,0.0994475138121546,0.2983425414364641,0.5966850828729282,0.3977900552486187,1.292817679558011,0.0,0.0,0.0,81.95,40.0,0.0,66.67,100.0,55.56,44.44,68.42,0.0137113483971425,0.0053316645536446,0.0,0.2983425414364641,0.006700946519337,0.0994475138121546,2.287292817679558,2.386740331491713,0.0512626206629834,23.96685082872928,CB,45,31,36,61,45,41,38,32,12,13,24,14,64,64,55,57,35,19,40,12,49,70,80,43,50,51,31,38,31,79,100,41,16,61,18,29,26,27,27,36,37,34,27,45,43,31,22,53,35,37,38,27,12,16,24,14,63,63,57,39,35,8,37,10,43,76,86,43,50,51,31,38,31,79,100,41,16,61,14,27,26,20,27,31,29,22,12,43,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,Tuomas Kaukua,25.0,Attacker,Finland,Striker,264.0,9.0,301.0,26.0,556.0,14.0,1.0,18.0,11.0,5.0,6.0,4.0,80.0,84.0,132.0,60.0,1.0,16.0,1781.0,4.0,38.0,28.0,47.0,30.0,0.0,0.0,0.0,71.1,20.31,24.32,58.75,36.36,57.64,50.0,68.18,0.6902933113370782,1.5111158475282511,4.0,62.0,1.923838209999999,32.0,55.0,79.0,2.801737230000002,281.0,13.340819764177429,0.454800673778776,15.210555867490177,1.3138686131386863,28.096574957888823,0.7074677147669849,0.0505334081976417,0.909601347557552,0.5558674901740596,0.2526670409882088,0.3032004491858506,0.2021336327905671,4.042672655811342,4.244806288601909,6.670409882088714,3.0320044918585065,0.0505334081976417,0.8085345311622685,0.2021336327905671,1.920269511510388,1.4149354295339698,2.375070185289164,1.5160022459292533,0.0,0.0,0.0,71.1,20.31,24.32,58.75,36.36,57.64,50.0,68.18,0.0348828736778983,0.0763618339570705,0.2021336327905671,3.13307130825379,0.0972181015721504,1.617069062324537,2.779337450870298,3.992139247613701,0.1415813311061202,14.19988770353734,LW,100,85,100,100,100,100,54,77,62,46,77,58,100,100,100,100,62,100,62,69,96,100,100,50,54,54,23,31,62,85,69,100,85,69,46,77,62,92,92,100,100,100,92,100,100,62,62,100,85,62,38,31,15,15,15,15,69,69,85,92,54,77,23,15,62,85,100,50,54,54,23,31,62,85,69,100,85,69,15,31,23,62,62,85,92,92,62,100,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,4votdnyh0srvboatz6a20d5p0,J. Paananen,Julius Paananen,19.0,Midfielder,Finland,Midfielder,251.0,0.0,293.0,29.0,544.0,9.0,0.0,10.0,18.0,6.0,12.0,3.0,14.0,16.0,63.0,37.0,0.0,27.0,1480.0,5.0,15.0,13.0,3.0,16.0,0.0,0.0,0.0,79.65,37.18,0.0,21.43,27.78,47.73,45.0,42.11,1.3179289615678709,0.8387871743802104,8.0,21.0,0.48691432,4.0,61.0,69.0,1.5729556700000005,270.0,15.263513513513516,0.0,17.81756756756757,1.7635135135135136,33.08108108108109,0.5472972972972974,0.0,0.6081081081081081,1.0945945945945947,0.3648648648648649,0.7297297297297298,0.1824324324324324,0.8513513513513514,0.972972972972973,3.8310810810810816,2.25,0.0,1.641891891891892,0.304054054054054,0.9121621621621624,0.7905405405405406,0.1824324324324324,0.972972972972973,0.0,0.0,0.0,79.65,37.18,0.0,21.43,27.78,47.73,45.0,42.11,0.0801443287439921,0.0510073281717695,0.4864864864864865,1.2770270270270272,0.0296096545945946,0.2432432432432432,3.70945945945946,4.1959459459459465,0.0956527096621622,16.41891891891892,DM/CM,61,17,58,55,55,62,29,52,80,67,85,56,73,76,64,91,24,86,79,62,47,36,52,45,52,52,15,33,17,9,59,30,52,9,76,58,77,64,58,27,61,73,58,55,33,17,33,45,30,42,29,21,67,48,82,36,52,52,36,85,24,82,67,39,27,18,27,45,52,52,15,33,17,9,59,30,52,9,61,42,67,39,39,21,52,58,39,36,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,4z8cc7bkslzkdckyv4k4ruvis,M. Ajoung,Macar Ajoung,20.0,Defender,Finland,Defender,47.0,0.0,6.0,0.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,90.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,96.36,0.0,0.0,0.0,0.0,90.0,66.67,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,6.0,0.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,96.36,0.0,0.0,0.0,0.0,90.0,66.67,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,8,31,3,2,4,7,38,11,4,4,24,14,10,10,8,9,35,4,15,3,26,15,14,43,50,51,100,2,31,15,15,100,77,19,4,12,26,6,6,14,3,3,3,3,90,31,3,2,61,48,38,11,4,4,24,14,10,10,100,97,35,46,15,3,100,15,100,43,50,51,100,2,31,15,15,100,77,19,4,12,26,6,6,14,3,3,3,3,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,6yreepfqr0qh9o2mlglzkri6t,R. Riski,Roope Riski,35.0,Attacker,Finland,Striker,15.0,0.0,33.0,0.0,48.0,0.0,0.0,1.0,7.0,6.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,0.0,348.0,3.0,15.0,2.0,0.0,2.0,0.0,0.0,0.0,87.27,0.0,0.0,0.0,42.86,25.0,0.0,100.0,0.5124123150518014,0.0461167270691317,2.0,1.0,0.10805102,0.0,0.0,3.0,0.07748735,12.0,3.8793103448275854,0.0,8.53448275862069,0.0,12.413793103448276,0.0,0.0,0.2586206896551724,1.8103448275862069,1.5517241379310345,0.2586206896551724,0.7758620689655172,0.7758620689655172,0.7758620689655172,1.0344827586206895,0.2586206896551724,0.5172413793103449,0.0,0.7758620689655172,3.8793103448275854,0.5172413793103449,0.0,0.5172413793103449,0.0,0.0,0.0,87.27,0.0,0.0,0.0,42.86,25.0,0.0,100.0,0.1325204263065003,0.0119267397592581,0.5172413793103449,0.2586206896551724,0.0279442293103448,0.0,0.0,0.7758620689655172,0.0200398318965517,3.103448275862069,ST,32,25,26,5,26,3,20,8,23,29,17,39,12,12,3,9,54,17,27,29,16,8,23,51,50,51,100,5,25,8,64,7,3,92,20,7,28,10,27,10,3,20,13,18,37,25,41,5,39,3,20,7,26,33,15,76,13,13,2,11,80,17,35,37,24,8,48,51,50,51,100,5,25,8,64,7,3,92,24,9,46,9,26,10,3,24,13,15,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,7glr1eur910fj5b5fg743job9,R. Karjalainen,Rasmus Karjalainen,30.0,Attacker,Finland,Striker,87.0,22.0,204.0,13.0,269.0,23.0,3.0,31.0,52.0,39.0,13.0,15.0,17.0,19.0,50.0,17.0,10.0,1.0,1817.0,22.0,78.0,9.0,6.0,8.0,0.0,0.0,0.0,64.98,27.66,21.78,35.29,42.31,40.32,42.59,61.54,6.200041597190758,3.481921013903931,14.0,18.0,0.58212194,8.0,25.0,37.0,1.4801528699999995,108.0,4.309301045679692,1.089708310401761,10.104567969179966,0.643918547055586,13.324160704457896,1.1392405063291138,0.1485965877820583,1.535498073747936,2.575674188222344,1.9317556411667585,0.643918547055586,0.7429829389102917,0.8420473307649972,0.9411117226197028,2.476609796367639,0.8420473307649972,0.4953219592735278,0.0495321959273527,1.089708310401761,3.863511282333517,0.445789763346175,0.2971931755641167,0.3962575674188222,0.0,0.0,0.0,64.98,27.66,21.78,35.29,42.31,40.32,42.59,61.54,0.3071016751497898,0.1724671938642563,0.6934507429829389,0.89157952669235,0.0288337779856906,0.3962575674188222,1.2383048981838194,1.8326912493120529,0.0733152219592735,5.3494771601541,ST,89,98,98,96,98,83,93,98,92,90,93,96,71,71,73,93,95,46,95,87,54,63,79,51,50,51,20,22,72,49,59,59,61,41,91,100,98,83,76,79,95,96,87,93,48,87,57,78,46,48,61,83,48,52,63,72,17,20,11,59,78,35,57,35,20,30,22,51,50,51,20,22,72,49,59,59,61,41,63,91,63,28,30,46,74,76,61,67,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,7ljghcaztuhry0jka0gx0x72s,A. Lietsa,Johan Lietsa,21.0,Defender,Finland,Defender,300.0,1.0,87.0,27.0,386.0,26.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,42.0,47.0,0.0,4.0,823.0,0.0,11.0,6.0,0.0,7.0,0.0,0.0,0.0,80.25,36.99,100.0,0.0,0.0,53.16,56.52,70.0,0.2630024822428607,0.1216025102943307,0.0,2.0,0.04087117,1.0,8.0,20.0,0.5570583600000001,240.0,32.806804374240585,0.1093560145808019,9.513973268529767,2.952612393681653,42.21142162818956,2.8432563791008505,0.0,0.2187120291616039,0.2187120291616039,0.2187120291616039,0.0,0.1093560145808019,0.0,0.0,4.592952612393682,5.139732685297692,0.0,0.4374240583232078,0.0,1.2029161603888214,0.6561360874848117,0.0,0.7654921020656137,0.0,0.0,0.0,80.25,36.99,100.0,0.0,0.0,53.16,56.52,70.0,0.0287609032829373,0.0132979658888089,0.0,0.2187120291616039,0.0044695082624544,0.1093560145808019,0.8748481166464156,2.187120291616039,0.0609176821385176,26.24544349939247,CB,53,65,29,58,43,72,38,49,22,26,24,41,10,10,49,57,35,19,15,52,49,15,41,43,50,51,24,29,99,15,15,29,44,65,27,39,26,20,20,36,12,30,31,43,53,69,14,55,41,86,38,53,20,27,24,47,10,10,61,51,35,12,15,55,53,15,49,43,50,51,24,29,99,15,15,29,44,65,29,49,26,16,16,33,8,18,20,47,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,7os7jcq9ok9jco9kqtscubpp1,J. Pirinen,Juha Pirinen,34.0,Defender,Finland,Defender,593.0,1.0,347.0,76.0,939.0,51.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,2.0,101.0,110.0,1.0,18.0,1800.0,4.0,16.0,27.0,1.0,16.0,0.0,0.0,0.0,77.16,33.04,33.33,100.0,66.67,70.14,68.0,72.73,0.8534065808640598,0.0,0.0,13.0,0.25031031,0.0,92.0,101.0,2.0681180900000005,581.0,29.65,0.05,17.35,3.8,46.95,2.55,0.0,0.0,0.3,0.3,0.0,0.0,0.05,0.1,5.05,5.5,0.05,0.9,0.2,0.8,1.35,0.05,0.8,0.0,0.0,0.0,77.16,33.04,33.33,100.0,66.67,70.14,68.0,72.73,0.0426703290432029,0.0,0.0,0.65,0.0125155155,0.0,4.6,5.05,0.1034059045,29.05,CB,86,65,94,96,90,98,38,11,58,69,24,14,29,42,98,94,82,85,89,77,100,40,83,43,50,51,12,18,84,95,98,98,85,70,71,12,26,67,63,14,95,96,98,90,47,61,55,84,53,69,38,11,29,33,24,14,20,29,71,58,72,36,67,39,92,31,51,43,50,51,12,18,84,95,98,98,85,70,37,12,26,40,39,14,69,67,47,51,Veikkausliiga
