Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total won contest_Total,total accurate cross_Total,total accurate long balls_Total,total interception_Total,total big chances saved_Total,total assists_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total won contest_p90,total accurate cross_p90,total accurate long balls_p90,total interception_p90,total big chances saved_p90,total assists_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total won contest_TotalPR,total accurate cross_TotalPR,total accurate long balls_TotalPR,total interception_TotalPR,total big chances saved_TotalPR,total assists_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total won contest_p90PR,total accurate cross_p90PR,total accurate long balls_p90PR,total interception_p90PR,total big chances saved_p90PR,total assists_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Monaco,4t4hod56fsj7utpjdor8so5q6,28x7i681wkjueanvkevew3bh1,A. Golovin,Aleksandr Golovin,30,Midfielder,Russia,Midfielder,4.0,21.0,25.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,90.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,80.65,33.33,0.0,0.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,25.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,80.65,33.33,0.0,0.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LM/LCM,50,50,50,75,75,100,100,100,75,50,50,100,100,75,100,100,75,50,75,50,50,75,75,75,50,50,50,75,100,100,75,50,75,50,75,50,50,50,50,50,50,50,50,50,50,75,75,100,100,100,75,50,50,100,100,75,100,100,75,50,75,50,50,75,75,75,50,50,50,75,100,100,75,50,75,50,75,50,50,50,50,50,50,50,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,2jc6sdkse1kxjztsgystidot1,D. Zakaria,Denis Zakaria,29,Midfielder,Switzerland,Midfielder,7.0,16.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,8.0,2.0,0.0,90.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,85.19,0.0,0.0,66.67,0.0,72.73,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,8.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,85.19,0.0,0.0,66.67,0.0,72.73,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,6,24,6,21,24,62,47,71,47,94,91,94,59,50,41,97,97,88,94,41,6,35,53,50,47,6,41,79,41,100,26,82,35,38,38,38,38,47,29,32,29,29,6,24,6,21,24,62,47,71,47,94,91,94,59,50,41,97,97,88,94,41,6,35,53,50,47,6,41,79,41,100,26,82,35,38,38,38,38,47,29,32,29,29,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,8eq4c5cotvem9ae9uzb2yezo4,L. Camara,Lamine Camara,22,Midfielder,Senegal,Midfielder,37.0,30.0,67.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,2.0,0.0,90.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,93.06,50.0,0.0,100.0,100.0,70.59,50.0,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,30.0,67.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,2.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,93.06,50.0,0.0,100.0,100.0,70.59,50.0,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,85,82,88,62,62,62,47,71,47,56,53,100,59,50,88,32,47,100,74,41,21,12,53,50,88,50,41,94,97,94,79,59,35,38,38,38,38,47,29,32,29,29,85,82,88,62,62,62,47,71,47,56,53,100,59,50,88,32,47,100,74,41,21,12,53,50,88,50,41,94,97,94,79,59,35,38,38,38,38,47,29,32,29,29,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,az7wa6km1zhvsb8y4mndlogyd,E. Dier,Eric Dier,32,Defender,England,Defender,20.0,14.0,34.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,8.0,10.0,1.0,90.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,80.95,40.0,0.0,100.0,100.0,88.89,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,34.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,8.0,10.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,80.95,40.0,0.0,100.0,100.0,88.89,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,9,57,16,95,39,91,93,50,52,98,95,100,82,100,100,82,34,59,100,52,52,18,48,52,14,68,52,100,100,100,25,43,45,43,50,50,50,52,43,43,41,41,9,57,16,95,39,91,93,50,52,98,95,100,82,100,100,82,34,59,100,52,52,18,48,52,14,68,52,100,100,100,25,43,45,43,50,50,50,52,43,43,41,41,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,bffc3dzdi9c6ix77k1yaepjpw,S. Sané,Sadibou Sané,22,Defender,Senegal,Defender,21.0,16.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,84.09,16.67,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,84.09,16.67,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,14,73,36,36,86,43,45,50,52,48,45,23,70,50,50,36,34,59,48,52,39,18,48,52,23,36,52,48,50,48,75,82,45,43,50,50,50,52,43,43,41,41,14,73,36,36,86,43,45,50,52,48,45,23,70,50,50,36,34,59,48,52,39,18,48,52,23,36,52,48,50,48,75,82,45,43,50,50,50,52,43,43,41,41,Ligue 1
Angers,75qj99fhg5c0ztj2tva5u4uii,2rsqkarlkh6z8vrb0clfbz6xh,B. van den Boomen,Branco van den Boomen,31,Midfielder,Netherlands,Midfielder,30.0,31.0,58.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,85.29,75.0,27.27,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,31.0,58.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,85.29,75.0,27.27,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,74,88,71,21,85,26,47,29,47,21,21,18,32,50,41,74,15,18,32,94,94,35,53,50,59,100,82,32,41,44,26,18,35,38,38,38,38,47,29,32,29,29,74,88,71,21,85,26,47,29,47,21,21,18,32,50,41,74,15,18,32,94,94,35,53,50,59,100,82,32,41,44,26,18,35,38,38,38,38,47,29,32,29,29,Ligue 1
Angers,75qj99fhg5c0ztj2tva5u4uii,4hfq1ngrroah5xew91woxg07o,J. Ekomié,Jacques Ekomié,23,Defender,Gabon,Defender,10.0,15.0,25.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,90.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,83.33,0.0,0.0,50.0,0.0,45.45,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,25.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,83.33,0.0,0.0,50.0,0.0,45.45,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,12,38,12,44,29,94,88,97,53,82,82,65,26,53,53,79,29,85,79,47,15,85,53,53,35,15,47,71,53,29,32,88,44,35,50,41,41,38,29,32,29,29,12,38,12,44,29,94,88,97,53,82,82,65,26,53,53,79,29,85,79,47,15,85,53,53,35,15,47,71,53,29,32,88,44,35,50,41,41,38,29,32,29,29,Ligue 1
Angers,75qj99fhg5c0ztj2tva5u4uii,4nzndhd2pnky4szpunvlyxs2y,A. Sbaï,Amine Sbaï,25,Attacker,Morocco,Striker,5.0,25.0,25.0,1.0,9.0,3.0,2.0,1.0,3.0,2.0,2.0,6.0,0.0,0.0,90.0,0.0,8.0,4.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,69.44,33.33,55.56,50.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,25.0,1.0,9.0,3.0,2.0,1.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,69.44,33.33,55.56,50.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LW,100,50,50,100,100,100,100,100,100,50,50,100,75,75,50,100,100,50,50,100,75,75,75,75,50,50,100,50,50,100,75,50,50,75,50,50,50,50,50,50,50,50,100,50,50,100,100,100,100,100,100,50,50,100,75,75,50,100,100,50,50,100,75,75,75,75,50,50,100,50,50,100,75,50,50,75,50,50,50,50,50,50,50,50,Ligue 1
Angers,75qj99fhg5c0ztj2tva5u4uii,99yx7t2j59cyia4bkpi59q1as,O. Camara,Ousmane Camara,23,Defender,Mali,Defender,43.0,18.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,95.31,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,18.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,95.31,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,80,82,77,11,86,43,45,50,52,48,45,9,50,50,50,36,34,59,48,52,18,52,98,52,73,18,52,48,50,48,25,82,45,43,50,50,50,52,43,43,41,41,80,82,77,11,86,43,45,50,52,48,45,9,50,50,50,36,34,59,48,52,18,52,98,52,73,18,52,48,50,48,25,82,45,43,50,50,50,52,43,43,41,41,Ligue 1
Angers,75qj99fhg5c0ztj2tva5u4uii,ar3g1flq7vgbl90q9t1v4y02d,J. Lefort,Jordan Lefort,33,Defender,Mauritania,Defender,31.0,32.0,63.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,90.0,0.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,86.3,71.43,0.0,0.0,0.0,50.0,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,63.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,86.3,71.43,0.0,0.0,0.0,50.0,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,65,88,88,76,97,41,44,47,53,24,24,41,82,53,53,59,74,56,32,47,100,56,53,53,65,85,47,32,53,41,82,88,44,35,50,41,41,38,29,32,29,29,65,88,88,76,97,41,44,47,53,24,24,41,82,53,53,59,74,56,32,47,100,56,53,53,65,85,47,32,53,41,82,88,44,35,50,41,41,38,29,32,29,29,Ligue 1
