Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total contest_Total,total dribbles attempted_Total,total won contest_Total,total accurate cross_Total,total blocked scoring att_Total,total assists_Total,total big chances saved_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total contest_p90,total dribbles attempted_p90,total won contest_p90,total accurate cross_p90,total blocked scoring att_p90,total assists_p90,total big chances saved_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total won contest_TotalPR,total accurate cross_TotalPR,total blocked scoring att_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total won contest_p90PR,total accurate cross_p90PR,total blocked scoring att_p90PR,total assists_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,1jp5ure85qhx8kkzgivt86t3p,M. Costly,Marcel Costly,30,Attacker,Germany,Striker,10.0,28.0,0.0,35.0,3.0,7.0,4.0,2.0,2.0,7.0,3.0,1.0,1.0,180.0,2.0,8.0,1.0,1.0,5.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0,81.4,0.0,23.08,40.0,50.0,41.18,60.0,100.0,0.3712818687048302,0.7390786080111239,3.0,8.0,0.17069439,5.0,5.0,6.0,0.52791434,11.0,5.0,14.0,0.0,17.5,1.5,3.5,2.0,1.0,1.0,3.5,1.5,0.5,0.5,1.0,4.0,0.5,0.5,2.5,2.5,1.0,1.5,0.0,1.0,0.0,0.0,81.4,0.0,23.08,40.0,50.0,41.18,60.0,100.0,0.1856409343524151,0.3695393040055619,1.5,4.0,0.085347195,2.5,2.5,3.0,0.26395717,5.5,ST,68,88,27,83,73,100,52,38,83,53,87,62,80,58,62,37,67,77,77,65,97,25,98,52,52,83,27,87,50,63,50,92,90,50,100,88,98,87,100,97,85,100,70,53,82,27,70,63,100,45,30,75,35,87,53,75,52,52,30,55,67,67,58,93,25,98,52,52,83,27,87,50,63,50,92,90,47,100,88,98,73,100,93,83,100,57,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,2o570lgb5c364c395zp1ccqqy,T. Siersleben,Tim Siersleben,26,Defender,Germany,Defender,53.0,38.0,10.0,91.0,8.0,0.0,1.0,1.0,0.0,10.0,12.0,0.0,4.0,180.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,80.53,52.63,0.0,100.0,0.0,55.56,72.73,100.0,0.1027425282540882,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.2323374899999999,67.0,26.5,19.0,5.0,45.5,4.0,0.0,0.5,0.5,0.0,5.0,6.0,0.0,2.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,80.53,52.63,0.0,100.0,0.0,55.56,72.73,100.0,0.0513712641270441,0.0,0.0,0.0,0.0,0.0,4.5,6.5,0.1161687449999999,33.5,CB,45,90,97,68,97,27,52,66,39,84,68,45,84,34,61,58,40,77,76,89,44,92,48,47,52,10,71,44,94,34,55,97,82,58,29,42,26,26,35,87,98,84,90,35,71,90,48,92,27,47,63,39,74,66,45,81,34,58,53,31,73,71,85,44,90,48,47,52,10,71,44,94,34,55,97,82,55,29,42,26,26,35,82,98,81,77,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,5dcemmjwbguvnz7sz0m8uomad,J. Föhrenbach,Jonas Föhrenbach,30,Defender,Germany,Defender,42.0,37.0,11.0,75.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,180.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,82.42,57.89,40.0,33.33,0.0,12.5,0.0,0.0,0.0,0.5683155590248355,0.0,4.0,0.08547703,2.0,8.0,9.0,0.29055955,35.0,21.0,18.5,5.5,37.5,0.0,2.0,0.0,0.0,0.0,0.5,1.5,0.0,0.5,0.0,0.0,0.0,0.0,1.5,1.5,0.5,2.0,0.0,0.5,0.0,0.0,82.42,57.89,40.0,33.33,0.0,12.5,0.0,0.0,0.0,0.2841577795124178,0.0,2.0,0.042738515,1.0,4.0,4.5,0.145279775,17.5,LB/LCB,68,61,100,74,8,95,26,37,32,5,29,50,39,42,11,18,8,76,76,55,95,37,97,53,53,47,79,74,45,42,5,16,8,26,100,37,74,74,76,74,76,79,63,58,55,95,58,8,92,26,37,32,5,29,50,39,42,11,18,8,66,66,47,95,37,97,53,53,47,79,74,45,42,5,16,8,26,100,37,74,74,68,74,66,74,58,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,6hotzhpidcjljm3u0ud1uqsid,B. Zivzivadze,Budu Zivzivadze,32,Attacker,Georgia,Striker,10.0,14.0,2.0,24.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,1.0,0.0,166.0,1.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70.59,66.67,0.0,100.0,25.0,25.0,28.57,0.0,0.2773379960682893,0.1980984265660256,1.0,1.0,0.25745362,0.0,0.0,2.0,0.0446266999999999,8.0,5.421686746987952,7.590361445783132,1.0843373493975903,13.012048192771084,1.0843373493975903,1.6265060240963851,2.1686746987951806,1.6265060240963851,0.5421686746987951,1.6265060240963851,1.0843373493975903,0.5421686746987951,0.0,0.5421686746987951,4.337349397590361,0.0,0.0,0.5421686746987951,0.5421686746987951,0.5421686746987951,0.0,0.0,0.0,0.0,0.0,70.59,66.67,0.0,100.0,25.0,25.0,28.57,0.0,0.150363973771964,0.1074027613912187,0.5421686746987951,0.5421686746987951,0.1395832879518072,0.0,0.0,1.0843373493975903,0.0241951987951806,4.337349397590361,ST,68,50,87,57,58,80,52,53,52,13,77,62,37,35,62,15,25,35,35,47,42,25,38,52,52,37,75,42,95,27,15,43,25,40,70,48,35,100,27,12,57,47,55,57,43,90,47,52,77,50,53,47,10,80,73,37,35,60,15,25,33,33,42,42,25,38,52,52,37,75,42,95,27,15,43,25,37,67,48,30,97,27,12,57,37,43,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,9heh3f6hvyp4sgbu0ft4xfh05,P. Mainka,Patrick Mainka,31,Defender,Germany,Defender,60.0,19.0,5.0,79.0,7.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,1.0,135.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.76,71.43,0.0,0.0,0.0,55.56,63.64,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,12.666666666666666,3.333333333333333,52.66666666666666,4.666666666666667,0.0,0.0,0.0,0.0,6.666666666666667,13.333333333333334,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.76,71.43,0.0,0.0,0.0,55.56,63.64,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,73,13,56,42,89,27,19,27,39,84,97,45,29,34,35,23,40,32,32,40,44,42,48,47,52,74,90,44,40,34,55,76,29,21,29,42,26,26,35,13,13,13,13,89,29,68,71,100,27,19,27,39,95,100,45,32,34,39,23,50,32,32,40,44,42,48,47,52,74,90,44,40,34,55,76,29,21,29,42,26,26,35,13,13,13,13,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,bqjrib66m08p1qw8315ljc38q,J. Schöppner,Jan Schöppner,27,Midfielder,Germany,Midfielder,33.0,32.0,7.0,65.0,6.0,0.0,2.0,2.0,0.0,11.0,7.0,2.0,2.0,180.0,2.0,5.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,75.58,58.33,0.0,50.0,100.0,42.31,60.0,100.0,0.5871168567981786,0.0,0.0,1.0,0.01870347,2.0,7.0,8.0,0.16993331,35.0,16.5,16.0,3.5,32.5,3.0,0.0,1.0,1.0,0.0,5.5,3.5,1.0,1.0,1.0,2.5,0.5,1.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,75.58,58.33,0.0,50.0,100.0,42.31,60.0,100.0,0.2935584283990893,0.0,0.0,0.5,0.009351735,1.0,3.5,4.0,0.084966655,17.5,DM/CM,47,50,82,40,90,10,54,76,26,69,85,100,68,94,91,22,72,63,62,60,37,31,47,51,51,18,74,37,63,99,35,75,85,100,16,31,41,34,84,60,72,65,53,38,40,78,29,82,10,50,71,26,62,84,100,63,93,82,16,65,54,51,51,37,31,47,51,51,18,74,37,63,99,35,75,85,100,16,31,32,32,81,59,68,59,47,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,csdd9p7ai8i0s4b2akm9is8yy,O. Mhamdi,Oualid Mhamdi,23,Defender,Morocco,Defender,32.0,16.0,3.0,48.0,1.0,0.0,5.0,1.0,4.0,5.0,1.0,0.0,1.0,104.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,84.21,60.0,0.0,50.0,0.0,41.67,50.0,0.0,0.2735680730300474,0.0,2.0,2.0,0.041573,1.0,6.0,8.0,0.21794759,22.0,27.692307692307693,13.846153846153848,2.5961538461538463,41.53846153846154,0.8653846153846154,0.0,4.3269230769230775,0.8653846153846154,3.4615384615384617,4.3269230769230775,0.8653846153846154,0.0,0.8653846153846154,0.0,0.8653846153846154,0.8653846153846154,0.0,1.7307692307692308,1.7307692307692308,0.8653846153846154,0.0,2.5961538461538463,0.0,0.0,0.0,84.21,60.0,0.0,50.0,0.0,41.67,50.0,0.0,0.2367416016606179,0.0,1.7307692307692308,1.7307692307692308,0.0359766346153846,0.8653846153846154,5.1923076923076925,6.923076923076923,0.1886084913461538,19.03846153846154,RB/RCB,67,14,60,57,26,10,100,62,100,29,14,50,43,38,29,43,12,67,64,64,31,100,43,50,52,48,88,31,60,38,33,64,12,86,14,86,67,67,43,71,76,57,57,81,38,76,76,43,10,100,86,100,43,24,50,57,38,38,62,12,81,76,81,31,100,43,50,52,48,88,31,60,38,33,64,12,95,14,100,81,76,57,90,100,76,71,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,dgubl900t52nssngev6atayju,M. Pieringer,Marvin Pieringer,26,Attacker,Germany,Striker,15.0,28.0,2.0,43.0,3.0,2.0,5.0,4.0,1.0,9.0,2.0,1.0,2.0,180.0,2.0,6.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,79.63,50.0,0.0,0.0,40.0,45.0,60.0,50.0,0.5047669139757232,0.0991455981460026,2.0,2.0,0.05710404,1.0,4.0,3.0,0.10522907,14.0,7.5,14.0,1.0,21.5,1.5,1.0,2.5,2.0,0.5,4.5,1.0,0.5,1.0,1.0,3.0,2.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,79.63,50.0,0.0,0.0,40.0,45.0,60.0,50.0,0.2523834569878616,0.0495727990730013,1.0,1.0,0.02855202,0.5,2.0,1.5,0.052614535,7.0,ST,83,88,87,93,73,62,60,63,52,70,77,62,93,58,45,88,67,35,35,20,42,62,38,52,52,73,65,42,20,52,63,92,67,57,40,77,55,50,62,83,73,57,80,83,82,82,90,63,50,53,58,33,53,72,53,90,52,30,83,55,27,27,20,42,50,38,52,52,73,65,42,20,52,63,92,67,57,33,68,48,47,55,77,68,57,73,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,euywniqwcq40dqoo55xni961h,M. Honsak,Mathias Honsak,29,Attacker,Austria,Striker,8.0,10.0,0.0,18.0,0.0,2.0,2.0,2.0,0.0,4.0,1.0,0.0,1.0,104.0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,85.71,0.0,0.0,0.0,0.0,40.0,0.0,100.0,0.1823559194891675,0.0644654252266684,0.0,0.0,0.0,0.0,1.0,1.0,0.0156722999999999,5.0,6.923076923076923,8.653846153846155,0.0,15.576923076923078,0.0,1.7307692307692308,1.7307692307692308,1.7307692307692308,0.0,3.4615384615384617,0.8653846153846154,0.0,0.8653846153846154,0.0,4.3269230769230775,2.5961538461538463,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.0,0.0,0.0,0.8653846153846154,0.0,0.0,85.71,0.0,0.0,0.0,0.0,40.0,0.0,100.0,0.1578080072502411,0.0557873872153861,0.0,0.0,0.0,0.0,0.8653846153846154,0.8653846153846154,0.0135625673076922,4.3269230769230775,LW,25,12,19,12,25,44,56,69,44,19,31,44,56,19,69,75,38,25,25,19,25,50,81,56,56,62,19,25,19,19,38,31,88,62,38,38,12,12,19,25,19,12,12,25,12,19,12,25,50,75,75,44,38,50,44,88,19,75,100,50,25,25,19,25,50,88,56,56,62,19,25,19,19,38,31,88,75,38,38,12,12,19,25,12,12,12,2. Bundesliga
Kaiserslautern,dmw05a03pgt48fnf9ikxs6i1o,3b2w1t6fsuazgtp4trwfyt9be,N. Skyttä,Naatan Skyttä,24,Midfielder,Finland,Midfielder,7.0,23.0,0.0,30.0,0.0,3.0,5.0,4.0,1.0,9.0,0.0,0.0,1.0,133.0,3.0,10.0,6.0,0.0,5.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,73.17,0.0,0.0,60.0,60.0,64.29,0.0,0.0,0.4772299261255528,0.2527459252232827,1.0,3.0,0.0685808,2.0,3.0,6.0,0.3334343599999999,16.0,4.7368421052631575,15.56390977443609,0.0,20.30075187969925,0.0,2.0300751879699246,3.3834586466165413,2.706766917293233,0.6766917293233082,6.090225563909774,0.0,0.0,0.6766917293233082,2.0300751879699246,6.7669172932330826,4.060150375939849,0.0,3.3834586466165413,4.060150375939849,2.0300751879699246,0.0,0.6766917293233082,0.0,0.0,0.0,73.17,0.0,0.0,60.0,60.0,64.29,0.0,0.0,0.3229375439947349,0.1710310772187627,0.6766917293233082,2.0300751879699246,0.0464080601503759,1.3533834586466165,2.0300751879699246,4.060150375939849,0.2256322736842104,10.827067669172932,CM/AM,22,25,12,30,32,70,85,100,45,82,25,42,52,100,100,98,18,88,92,88,28,50,40,52,50,35,12,28,70,95,85,32,18,95,70,55,35,35,68,20,40,80,32,25,25,12,25,32,75,95,100,55,90,25,42,60,100,100,100,18,95,95,95,28,50,40,52,50,35,12,28,70,95,85,32,18,100,75,60,35,35,80,20,50,90,40,2. Bundesliga
