Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total effective clearance_Total,total mins played,total accurate cross_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total aerial won_Total,total blocked scoring att_Total,total won tackle_Total,total goals_Total,total interception_Total,total assists_Total,total big chances saved_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total effective clearance_p90,total accurate cross_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total aerial won_p90,total blocked scoring att_p90,total won tackle_p90,total goals_p90,total interception_p90,total assists_p90,total big chances saved_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total effective clearance_TotalPR,total accurate cross_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total aerial won_TotalPR,total blocked scoring att_TotalPR,total won tackle_TotalPR,total goals_TotalPR,total interception_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total effective clearance_p90PR,total accurate cross_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total aerial won_p90PR,total blocked scoring att_p90PR,total won tackle_p90PR,total goals_p90PR,total interception_p90PR,total assists_p90PR,total big chances saved_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,30mghmimxsxj12m1w7jnx4f3e,L. Rota,Lazaros Rota,29.0,Defender,Greece,Defender,19.0,30.0,0.0,49.0,0.0,90.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,94.23,0.0,0.0,0.0,33.33,50.0,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0,0.0,49.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,94.23,0.0,0.0,0.0,33.33,50.0,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB/RCB,67,100,17,89,11,39,61,100,33,100,33,33,67,100,94,33,44,67,83,67,56,94,56,56,89,17,39,44,100,72,89,56,39,39,44,50,50,44,39,33,33,33,67,100,17,89,11,39,61,100,33,100,33,33,67,100,94,33,44,67,83,67,56,94,56,56,89,17,39,44,100,72,89,56,39,39,44,50,50,44,39,33,33,33,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,4g72ltwbeujps5dlns7aegru,S. Pilios,Stavros Pilios,25.0,Defender,Albania,Defender,15.0,18.0,3.0,31.0,0.0,90.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,73.81,42.86,33.33,100.0,50.0,50.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,3.0,31.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,73.81,42.86,33.33,100.0,50.0,50.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,69,75,75,69,19,100,81,100,88,100,69,69,81,94,94,94,81,44,56,38,56,81,94,56,25,50,56,94,88,56,25,38,44,38,50,38,38,50,38,38,38,38,69,75,75,69,19,100,81,100,88,100,69,69,81,94,94,94,81,44,56,38,56,81,94,56,25,50,56,94,88,56,25,38,44,38,50,38,38,50,38,38,38,38,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,Filipe do Bem Relvas Vitó Oliveira,26.0,Defender,Portugal,Defender,48.0,15.0,4.0,63.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.45,66.67,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,4.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.45,66.67,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,81,53,69,81,9,50,44,34,34,50,44,44,12,50,31,28,50,25,47,34,50,28,53,50,81,78,50,50,50,28,50,34,41,47,53,47,47,50,38,38,38,38,81,53,69,81,9,50,44,34,34,50,44,44,12,50,31,28,50,25,47,34,50,28,53,50,81,78,50,50,50,28,50,34,41,47,53,47,47,50,38,38,38,38,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,chd9jdwmunetujxsjy6m4r9hx,H. Moukoudi,Harold Moukoudi,28.0,Defender,Cameroon,Defender,32.0,19.0,0.0,51.0,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,96.23,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,0.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,96.23,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,56,75,6,56,31,50,44,34,34,50,44,44,12,50,31,28,50,25,47,34,50,69,53,50,94,6,50,50,50,28,16,34,41,47,53,47,47,50,38,38,38,38,56,75,6,56,31,50,44,34,34,50,44,44,12,50,31,28,50,25,47,34,50,69,53,50,94,6,50,50,50,28,16,34,41,47,53,47,47,50,38,38,38,38,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,dsm566un9e2aoiz7t4z4pl7je,M. Vitális,Milán Vitális,24.0,Midfielder,Hungary,Midfielder,30.0,42.0,6.0,71.0,2.0,90.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,95.95,100.0,100.0,0.0,50.0,64.29,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,6.0,71.0,2.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,95.95,100.0,100.0,0.0,50.0,64.29,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,100,100,95,100,60,100,100,90,45,100,25,25,90,80,40,90,40,30,100,90,50,60,55,55,100,85,100,40,75,70,35,70,45,50,50,50,50,50,40,40,40,40,100,100,95,100,60,100,100,90,45,100,25,25,90,80,40,90,40,30,100,90,50,60,55,55,100,85,100,40,75,70,35,70,45,50,50,50,50,50,40,40,40,40,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,3r04y1fejoh9e8qbge3exy3u1,N. Fadiga,Noah Fadiga,26.0,Defender,Senegal,Defender,6.0,6.0,1.0,11.0,2.0,90.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,6,25,16,6,9,100,94,75,78,50,91,97,50,50,81,97,50,25,47,34,50,28,53,50,19,50,100,50,50,28,16,34,41,47,53,47,47,50,38,38,38,38,6,25,16,6,9,100,94,75,78,50,91,97,50,50,81,97,50,25,47,34,50,28,53,50,19,50,100,50,50,28,16,34,41,47,53,47,47,50,38,38,38,38,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,4chqpn40707ti7pwwdmbagrf9,Fabiano,Fabiano Leismann,34.0,Defender,Brazil,Defender,13.0,17.0,5.0,30.0,8.0,90.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,81.08,71.43,0.0,0.0,80.0,60.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,5.0,30.0,8.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,81.08,71.43,0.0,0.0,80.0,60.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,25,66,81,38,84,50,44,100,100,50,44,44,81,100,100,28,50,100,97,34,100,28,53,50,25,88,50,50,100,56,97,34,41,47,53,47,47,50,38,38,38,38,25,66,81,38,84,50,44,100,100,50,44,44,81,100,100,28,50,100,97,34,100,28,53,50,25,88,50,50,100,56,97,34,41,47,53,47,47,50,38,38,38,38,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,5r7q0eg6pmoq0safxa9tnm5l,U. Račić,Uros Racic,28.0,Midfielder,Serbia,Midfielder,11.0,21.0,5.0,32.0,1.0,90.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,9.0,2.0,7.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,76.19,83.33,0.0,0.0,50.0,60.0,66.67,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,5.0,32.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,9.0,2.0,7.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,76.19,83.33,0.0,0.0,50.0,60.0,66.67,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,20,70,80,60,35,50,40,100,100,80,25,25,90,100,100,60,40,85,50,90,100,30,55,55,20,60,50,40,75,55,75,70,45,50,50,50,50,50,40,40,40,40,20,70,80,60,35,50,40,100,100,80,25,25,90,100,100,60,40,85,50,90,100,30,55,55,20,60,50,40,75,55,75,70,45,50,50,50,50,50,40,40,40,40,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,7swhmqhii6ny7eod10df6dc6h,J. Petris,Jeremy Petris,28.0,Defender,France,Defender,7.0,21.0,3.0,28.0,4.0,90.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,0.0,73.68,37.5,0.0,0.0,0.0,50.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,3.0,28.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,0.0,73.68,37.5,0.0,0.0,0.0,50.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB/RCB,11,67,83,44,83,39,61,22,33,39,89,89,89,50,22,33,44,100,33,94,56,72,56,56,22,56,39,44,50,72,100,94,39,39,44,50,50,44,39,33,33,33,11,67,83,44,83,39,61,22,33,39,89,89,89,50,22,33,44,100,33,94,56,72,56,56,22,56,39,44,50,72,100,94,39,39,44,50,50,44,39,33,33,33,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,9bzlvn0twr2b5z30k30gugw5x,F. Jensen,Fredrik Jensen,28.0,Midfielder,Finland,Midfielder,24.0,16.0,7.0,40.0,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,80.0,53.85,0.0,0.0,0.0,33.33,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,7.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,80.0,53.85,0.0,0.0,0.0,33.33,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CM/AM,100,40,100,80,100,40,20,30,40,40,30,30,20,40,20,40,30,70,40,60,60,90,60,60,40,60,40,30,40,40,90,80,30,20,40,20,20,40,20,20,20,20,100,40,100,80,100,40,20,30,40,40,30,30,20,40,20,40,30,70,40,60,60,90,60,60,40,60,40,30,40,40,90,80,30,20,40,20,20,40,20,20,20,20,Greek Super League
