Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total goals_Total,total ontarget attempt_Total,total accurate cross_Total,total attempts obox_Total,total won contest_Total,total big chances saved_Total,total direct corner goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total goals_p90,total ontarget attempt_p90,total accurate cross_p90,total attempts obox_p90,total won contest_p90,total big chances saved_p90,total direct corner goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total accurate cross_TotalPR,total attempts obox_TotalPR,total won contest_TotalPR,total big chances saved_TotalPR,total direct corner goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total accurate cross_p90PR,total attempts obox_p90PR,total won contest_p90PR,total big chances saved_p90PR,total direct corner goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,1ainxl6zw3ne3doloixspdez8,P. Mulder,Pascal Mulder,27,Defender,Netherlands,Defender,113.0,34.0,13.0,147.0,8.0,15.0,10.0,12.0,253.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.98,56.52,0.0,0.0,0.0,57.69,66.67,33.33,0.1239687321860675,0.0475886374467249,0.0,2.0,0.03932202,0.0,11.0,16.0,0.3572646599999999,88.0,40.19762845849802,12.094861660079053,4.624505928853755,52.29249011857708,2.845849802371541,5.335968379446641,3.557312252964427,4.2687747035573125,1.4229249011857708,1.4229249011857708,0.3557312252964427,0.0,0.3557312252964427,0.3557312252964427,0.3557312252964427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.98,56.52,0.0,0.0,0.0,57.69,66.67,33.33,0.0440995489989963,0.0169287643091116,0.0,0.7114624505928854,0.0139880703557312,0.0,3.91304347826087,5.691699604743083,0.1270901952569169,31.30434782608696,CB,96,47,91,77,88,89,61,100,78,91,26,46,73,45,59,37,27,27,41,30,45,36,37,47,51,51,36,79,45,37,30,70,81,14,47,62,37,57,56,32,68,82,83,77,85,32,91,51,83,77,45,100,70,81,17,46,77,40,55,37,27,27,41,30,45,36,37,47,51,51,36,79,45,37,30,70,81,14,43,60,37,55,51,32,60,74,77,70,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,1cfenhtdvum1vtwn1fd01fzhm,J. Kilo,Juho Kilo,24,Midfielder,Finland,Midfielder,121.0,81.0,9.0,198.0,1.0,10.0,10.0,2.0,270.0,2.0,1.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,90.41,56.25,44.44,0.0,100.0,45.45,0.0,50.0,0.0611687655132549,0.4206311053799621,0.0,5.0,0.10214706,1.0,16.0,13.0,0.3380050700000001,105.0,40.333333333333336,27.0,3.0,66.0,0.3333333333333333,3.333333333333333,3.333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,90.41,56.25,44.44,0.0,100.0,45.45,0.0,50.0,0.0203895885044183,0.1402103684599873,0.0,1.6666666666666667,0.03404902,0.3333333333333333,5.333333333333333,4.333333333333333,0.1126683566666666,35.0,DM/CM,100,83,98,100,28,71,95,48,31,33,84,41,84,24,17,31,17,16,45,60,95,52,21,52,50,50,69,55,79,21,91,34,17,43,21,90,26,66,62,45,97,79,72,97,100,66,88,97,21,38,86,38,19,17,69,41,74,9,17,31,17,16,45,47,90,34,21,52,50,50,69,55,79,21,91,34,17,43,17,86,26,41,38,38,79,66,55,90,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,1sb4655mgzrdohlltyk9fqlzp,D. van Mieghem,Daryl van Mieghem,36,Attacker,Netherlands,Striker,14.0,27.0,4.0,39.0,1.0,7.0,0.0,1.0,215.0,2.0,4.0,0.0,0.0,2.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,58.21,36.36,18.18,0.0,0.0,53.85,50.0,0.0,0.2456124295534967,0.2236407505597372,0.0,3.0,0.0932371499999999,0.0,8.0,9.0,0.30535903,22.0,5.8604651162790695,11.30232558139535,1.6744186046511629,16.325581395348838,0.4186046511627907,2.9302325581395348,0.0,0.4186046511627907,0.8372093023255814,1.6744186046511629,0.0,0.0,0.8372093023255814,1.255813953488372,0.4186046511627907,0.4186046511627907,2.0930232558139537,2.0930232558139537,0.0,0.0,0.8372093023255814,0.8372093023255814,0.0,0.0,0.0,0.0,58.21,36.36,18.18,0.0,0.0,53.85,50.0,0.0,0.1028145053944869,0.0936170583738434,0.0,1.255813953488372,0.0390295046511627,0.0,3.3488372093023258,3.767441860465116,0.1278247102325581,9.209302325581396,RW,65,38,81,42,42,23,27,62,15,88,15,42,38,27,23,35,46,46,38,12,65,46,15,54,54,54,8,54,46,15,12,77,69,15,31,38,12,27,31,12,92,69,69,62,54,38,77,38,38,31,27,69,15,85,15,42,38,23,15,31,38,38,38,12,62,38,15,54,54,54,8,54,46,15,12,77,69,15,31,31,12,23,23,12,85,62,54,54,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,4isvhkgvsyqhoyvwd38agic5w,M. Hokke,Milan Hokke,22,Defender,Netherlands,Defender,98.0,43.0,20.0,139.0,4.0,14.0,11.0,0.0,270.0,5.0,1.0,4.0,1.0,8.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,81.29,58.82,40.0,50.0,50.0,48.28,40.0,50.0,0.1640875452433601,0.5829683571828128,1.0,1.0,0.06442595,0.0,15.0,16.0,0.47227257,71.0,32.666666666666664,14.333333333333334,6.666666666666667,46.333333333333336,1.3333333333333333,4.666666666666667,3.6666666666666665,0.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,81.29,58.82,40.0,50.0,50.0,48.28,40.0,50.0,0.0546958484144533,0.1943227857276042,0.3333333333333333,0.3333333333333333,0.0214753166666666,0.0,5.0,5.333333333333333,0.15742419,23.666666666666668,CB,78,57,100,68,62,80,69,11,90,43,87,96,100,73,59,85,90,88,41,76,98,82,82,47,51,51,21,81,96,78,72,19,36,30,64,100,85,41,66,32,78,82,89,63,52,43,98,38,44,57,47,11,80,34,73,91,100,56,45,80,79,77,41,64,98,76,78,47,51,51,21,81,96,78,72,19,36,30,47,98,78,35,60,32,70,72,85,46,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,4ouevb38lo7m55o5y77icg5xw,F. de Bruin,Finn de Bruin,22,Midfielder,Netherlands,Midfielder,30.0,24.0,2.0,54.0,1.0,2.0,6.0,3.0,131.0,5.0,0.0,1.0,1.0,2.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,84.38,40.0,0.0,0.0,0.0,40.0,50.0,100.0,0.4418572480574769,0.1977669544755921,3.0,3.0,0.05989546,1.0,4.0,6.0,0.1891871,24.0,20.610687022900763,16.48854961832061,1.3740458015267176,37.099236641221374,0.6870229007633588,1.3740458015267176,4.122137404580153,2.0610687022900764,3.435114503816794,0.0,0.6870229007633588,0.6870229007633588,1.3740458015267176,4.122137404580153,2.0610687022900764,1.3740458015267176,0.0,0.0,0.0,0.0,0.0,2.0610687022900764,0.0,0.0,0.0,0.0,84.38,40.0,0.0,0.0,0.0,40.0,50.0,100.0,0.3035660482837627,0.1358704267389564,2.0610687022900764,2.0610687022900764,0.0411495526717557,0.6870229007633588,2.748091603053436,4.122137404580153,0.1299758702290076,16.48854961832061,DM/CM,41,21,29,26,28,3,76,71,74,9,33,91,53,91,88,91,17,16,45,22,31,88,21,52,50,50,38,28,31,21,22,17,72,91,90,62,97,41,34,45,38,40,41,31,69,38,41,48,43,3,97,90,86,9,45,100,66,100,97,97,17,16,45,22,31,100,21,52,50,50,38,28,31,21,22,17,72,91,97,79,100,55,48,59,45,59,66,41,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,5f8ajd8cgyvmmdzr0lzi1gtii,E. Rottier,Evan Rottier,24,Attacker,Netherlands,Striker,12.0,18.0,1.0,30.0,5.0,10.0,3.0,0.0,175.0,8.0,3.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.22,25.0,0.0,0.0,33.33,50.0,62.5,0.0,0.3614003864637378,0.1424433205654839,1.0,4.0,0.18457693,1.0,1.0,2.0,0.05257222,12.0,6.171428571428572,9.257142857142858,0.5142857142857143,15.428571428571429,2.571428571428572,5.142857142857143,1.542857142857143,0.0,4.114285714285715,1.542857142857143,0.0,0.0,1.0285714285714287,1.542857142857143,1.542857142857143,0.5142857142857143,0.0,0.5142857142857143,0.5142857142857143,0.5142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,65.22,25.0,0.0,0.0,33.33,50.0,62.5,0.0,0.1858630558956366,0.0732565648622488,0.5142857142857143,2.0571428571428574,0.0949252782857142,0.5142857142857143,0.5142857142857143,1.0285714285714287,0.0270371417142857,6.171428571428572,ST,61,60,65,56,66,53,81,39,35,65,31,40,52,21,34,52,11,26,63,34,40,23,19,52,52,52,19,50,40,19,40,61,87,31,29,45,45,71,84,55,50,55,39,76,74,61,61,65,74,61,84,39,39,68,31,40,58,19,39,52,11,29,71,35,40,23,19,52,52,52,19,50,40,19,40,61,87,31,32,52,52,77,81,52,52,58,42,71,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,6bd8f7n398r2c92uve249rzmc,O. Raterink,Othniël Raterink,20,Defender,Netherlands,Defender,26.0,18.0,1.0,43.0,0.0,10.0,9.0,0.0,135.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,82.69,33.33,33.33,66.67,0.0,76.92,0.0,42.86,0.0845433831838266,0.2376185182421034,0.0,3.0,0.05883681,1.0,1.0,1.0,0.1137921,15.0,17.333333333333332,12.0,0.6666666666666666,28.666666666666668,0.0,6.666666666666667,6.0,0.0,1.3333333333333333,0.6666666666666666,2.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.0,2.0,2.0,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0.0,82.69,33.33,33.33,66.67,0.0,76.92,0.0,42.86,0.0563622554558844,0.1584123454947356,0.0,2.0,0.03922454,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0758614,10.0,RB/RCB,38,23,23,27,15,54,62,19,35,35,50,42,77,42,62,31,88,88,54,38,62,31,100,54,54,54,54,50,81,92,38,100,19,35,54,77,50,69,69,58,31,31,31,31,54,38,23,46,15,100,100,19,46,50,85,42,85,50,85,31,92,92,54,38,73,31,100,54,54,54,54,50,81,92,38,100,19,35,69,85,50,77,69,69,31,31,38,54,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,79jjqihyn4tymsutknadvvpjo,I. de Ruijter,Illaijh de Ruijter,19,Defender,Netherlands,Defender,8.0,19.0,2.0,25.0,1.0,6.0,0.0,0.0,152.0,4.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,71.43,66.67,50.0,0.0,0.0,42.86,33.33,100.0,0.1231702341363061,0.2691520610754452,1.0,4.0,0.13602243,1.0,1.0,4.0,0.31358434,13.0,4.7368421052631575,11.25,1.1842105263157894,14.802631578947368,0.5921052631578947,3.5526315789473686,0.0,0.0,2.3684210526315788,1.1842105263157894,1.7763157894736843,0.0,1.1842105263157894,1.1842105263157894,0.5921052631578947,0.0,1.7763157894736843,1.7763157894736843,0.0,0.0,1.1842105263157894,0.5921052631578947,0.0,0.0,0.0,0.0,71.43,66.67,50.0,0.0,0.0,42.86,33.33,100.0,0.072929743896497,0.1593663519525662,0.5921052631578947,2.3684210526315788,0.0805395967105263,0.5921052631578947,0.5921052631578947,2.3684210526315788,0.1856749381578947,7.697368421052632,LB/LCB,8,10,25,10,40,22,5,12,70,48,80,35,35,75,57,30,75,70,52,48,60,88,20,50,52,52,15,88,82,20,48,32,45,90,60,50,82,65,70,52,20,28,55,20,5,35,50,10,50,50,5,12,85,70,90,35,40,95,70,30,85,85,52,48,70,100,20,50,52,52,15,88,82,20,48,32,45,90,90,60,100,75,80,60,20,30,60,25,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,7d9x6ojih9obktxl3fnrjskk4,M. Waem,Matteo Waem,26,Defender,Belgium,Defender,76.0,19.0,2.0,95.0,4.0,10.0,12.0,3.0,159.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,90.48,50.0,0.0,0.0,100.0,62.5,66.67,33.33,0.0367823415603722,0.0,1.0,1.0,0.0199707,1.0,6.0,4.0,0.0797595899999999,52.0,43.0188679245283,10.754716981132075,1.1320754716981132,53.77358490566038,2.2641509433962264,5.660377358490567,6.79245283018868,1.69811320754717,0.5660377358490566,0.0,1.1320754716981132,0.0,0.0,0.5660377358490566,0.0,0.0,0.5660377358490566,0.5660377358490566,0.0,0.5660377358490566,0.0,0.5660377358490566,0.0,0.0,0.0,0.0,90.48,50.0,0.0,0.0,100.0,62.5,66.67,33.33,0.0208201933360597,0.0,0.5660377358490566,0.5660377358490566,0.0113041698113207,0.5660377358490566,3.39622641509434,2.2641509433962264,0.045146937735849,29.433962264150946,CB,64,23,21,49,62,57,76,64,35,17,54,46,30,45,20,37,70,68,41,76,45,82,37,47,51,51,67,56,45,37,93,82,81,14,32,30,85,41,44,69,46,41,34,48,94,21,20,55,68,81,87,77,37,17,70,46,30,49,20,37,72,70,41,81,45,87,37,47,51,51,67,56,45,37,93,82,81,14,32,30,91,43,43,72,51,43,34,60,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,8kns1kywrlakjwll1cxs19r3e,N. Thomas,Nigel Thomas,25,Attacker,Curaçao,Striker,12.0,20.0,0.0,32.0,0.0,6.0,3.0,0.0,97.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,6.0,6.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,88.89,0.0,0.0,83.33,33.33,50.0,0.0,0.0,0.1352002219208313,0.1463190616436637,3.0,5.0,0.17028146,2.0,4.0,3.0,0.2347207599999999,5.0,11.134020618556702,18.55670103092784,0.0,29.690721649484537,0.0,5.567010309278351,2.783505154639176,0.0,0.9278350515463918,0.0,0.0,0.0,0.9278350515463918,2.783505154639176,0.0,1.855670103092784,5.567010309278351,5.567010309278351,0.0,0.9278350515463918,0.0,2.783505154639176,4.639175257731959,0.0,0.0,0.0,88.89,0.0,0.0,83.33,33.33,50.0,0.0,0.0,0.1254435048749981,0.1357599541023684,2.783505154639176,4.639175257731959,0.1579931072164948,1.855670103092784,3.711340206185567,2.783505154639176,0.2177821484536081,4.639175257731959,ST,61,66,24,71,10,40,81,39,5,13,31,40,26,21,5,82,76,74,23,34,40,95,92,52,52,52,97,24,40,87,40,61,13,31,10,48,90,79,81,74,84,69,84,27,97,90,24,90,10,68,100,39,6,13,31,40,55,71,5,97,94,94,23,48,40,100,100,52,52,52,97,24,40,87,40,61,13,31,16,71,100,94,97,90,100,84,90,55,Eredivisie
