Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total att assist_Total,total effective clearance_Total,total mins played,total aerial won_Total,total assists_Total,total attempt_Total,total attempts ibox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total goals_Total,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total blocked scoring att_Total,total won contest_Total,total interception_Total,total won tackle_Total,total attempts obox_Total,total big chances saved_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total att assist_p90,total effective clearance_p90,total aerial won_p90,total assists_p90,total attempt_p90,total attempts ibox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total goals_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total blocked scoring att_p90,total won contest_p90,total interception_p90,total won tackle_p90,total attempts obox_p90,total big chances saved_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total att assist_TotalPR,total effective clearance_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total blocked scoring att_TotalPR,total won contest_TotalPR,total interception_TotalPR,total won tackle_TotalPR,total attempts obox_TotalPR,total big chances saved_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total att assist_p90PR,total effective clearance_p90PR,total aerial won_p90PR,total assists_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total blocked scoring att_p90PR,total won contest_p90PR,total interception_p90PR,total won tackle_p90PR,total attempts obox_p90PR,total big chances saved_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Milan,9dntj5dioj5ex52yrgwzxrq9l,3bm08rp9rgzh6cjhk0picxs6h,S. Chukwueze,Samuel Chukwueze,27,Attacker,Nigeria,Striker,20.0,3.0,18.0,2.0,35.0,4.0,0.0,90.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,77.78,66.67,37.5,50.0,50.0,50.0,0.0,100.0,0.2415816635365291,0.5247356572706687,1.0,5.0,0.1965198,2.0,2.0,5.0,0.41103286,15.0,20.0,3.0,18.0,2.0,35.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,77.78,66.67,37.5,50.0,50.0,50.0,0.0,100.0,0.2415816635365291,0.5247356572706687,1.0,5.0,0.1965198,2.0,2.0,5.0,0.41103286,15.0,RW,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,7wjdqyl3bkhsfca5cu4riwley,S. Pavlović,Strahinja Pavlovic,25,Defender,Serbia,Defender,55.0,0.0,20.0,1.0,75.0,0.0,6.0,90.0,2.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,90.36,16.67,0.0,0.0,0.0,66.67,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,20.0,1.0,75.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,90.36,16.67,0.0,0.0,0.0,66.67,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,93,32,50,61,93,25,86,86,54,25,36,93,93,93,50,36,21,96,43,36,18,89,32,54,86,50,32,36,36,79,93,89,29,32,39,29,29,32,29,29,21,21,93,32,50,61,93,25,86,86,54,25,36,93,93,93,50,36,21,96,43,36,18,89,32,54,86,50,32,36,36,79,93,89,29,32,39,29,29,32,29,29,21,21,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,95r0jtkw03vjohzwc8os8ielm,K. De Winter,Koni De Winter,24,Defender,Belgium,Defender,42.0,0.0,20.0,1.0,62.0,0.0,2.0,90.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,95.38,33.33,0.0,0.0,0.0,77.78,66.67,80.0,0.1365999959084028,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.04695578,43.0,42.0,0.0,20.0,1.0,62.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,95.38,33.33,0.0,0.0,0.0,77.78,66.67,80.0,0.1365999959084028,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.04695578,43.0,CB,66,46,86,29,64,36,39,73,52,64,70,39,39,86,46,39,79,27,96,41,80,96,48,52,75,27,46,41,39,88,88,70,75,39,48,32,32,43,57,77,54,82,66,46,86,29,64,36,39,73,52,64,70,39,39,86,46,39,79,27,96,41,80,96,48,52,75,27,46,41,39,88,88,70,75,39,48,32,32,43,57,77,54,82,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,9v4l7ic3ve6d22c0gs9p1oe3u,Gonçalo Ramos,Gonçalo Matias Ramos,25,Attacker,Portugal,Striker,5.0,0.0,12.0,1.0,17.0,1.0,1.0,90.0,4.0,0.0,5.0,5.0,3.0,3.0,5.0,0.0,1.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,68.0,100.0,0.0,33.33,20.0,50.0,66.67,0.0,0.5848318905377301,0.1064912973777063,0.0,1.0,0.01689528,0.0,1.0,1.0,0.07095163,7.0,5.0,0.0,12.0,1.0,17.0,1.0,1.0,4.0,0.0,5.0,5.0,3.0,3.0,5.0,0.0,1.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,68.0,100.0,0.0,33.33,20.0,50.0,66.67,0.0,0.5848318905377301,0.1064912973777063,0.0,1.0,0.01689528,0.0,1.0,1.0,0.07095163,7.0,ST,67,54,79,88,79,67,71,100,50,96,100,67,58,71,46,62,100,17,96,62,96,38,29,54,33,92,54,58,38,83,100,38,100,92,29,67,58,25,75,71,75,75,67,54,79,88,79,67,71,100,50,96,100,67,58,71,46,62,100,17,96,62,96,38,29,54,33,92,54,58,38,83,100,38,100,92,29,67,58,25,75,71,75,75,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,b2e12l3s3dxgyr8d2rk5qb9ey,Y. Musah,Yunus Musah,23,Midfielder,USA,Midfielder,17.0,0.0,16.0,2.0,33.0,0.0,2.0,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,86.84,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,16.0,2.0,33.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,86.84,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CM/AM,55,45,40,85,50,30,65,40,50,20,20,50,50,10,50,45,15,25,45,25,70,25,40,55,30,85,45,25,45,10,40,25,20,30,30,20,20,35,20,15,15,15,55,45,40,85,50,30,65,40,50,20,20,50,50,10,50,45,15,25,45,25,70,25,40,55,30,85,45,25,45,10,40,25,20,30,30,20,20,35,20,15,15,15,Serie A
Monza,67z1gqyiuzpmmb15q5fy7ntc4,4ax49niuix9tiqdv05y3vbdn9,Ricardo Mangas,Ricardo Luís Chaby Mangas,28,Defender,Portugal,Defender,6.0,0.0,6.0,1.0,12.0,0.0,1.0,90.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,70.59,100.0,0.0,0.0,100.0,33.33,0.0,0.0,0.1745431539255435,0.0,0.0,1.0,0.01611813,0.0,1.0,0.0,0.0214980199999999,8.0,6.0,0.0,6.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,70.59,100.0,0.0,0.0,100.0,33.33,0.0,0.0,0.1745431539255435,0.0,0.0,1.0,0.01611813,0.0,1.0,0.0,0.0214980199999999,8.0,CB,5,46,20,29,5,36,23,14,52,64,70,39,39,11,46,89,79,73,46,41,55,20,48,52,4,93,46,41,93,29,32,20,93,39,48,77,64,43,57,25,46,43,5,46,20,29,5,36,23,14,52,64,70,39,39,11,46,89,79,73,46,41,55,20,48,52,4,93,46,41,93,29,32,20,93,39,48,77,64,43,57,25,46,43,Serie A
Monza,67z1gqyiuzpmmb15q5fy7ntc4,721e4tx2wrwb4kd9w80fcq19l,S. Birindelli,Samuele Birindelli,27,Defender,Italy,Defender,6.0,0.0,6.0,0.0,12.0,0.0,0.0,90.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,0.1015813839682652,0.0,0.0,1.0,0.01870347,0.0,2.0,2.0,0.14140581,9.0,6.0,0.0,6.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,0.1015813839682652,0.0,0.0,1.0,0.01870347,0.0,2.0,2.0,0.14140581,9.0,CB,5,46,20,5,5,36,9,46,52,64,70,39,39,46,46,89,46,73,46,41,21,20,48,52,7,5,46,41,93,82,32,20,68,39,48,77,73,43,68,64,89,46,5,46,20,5,5,36,9,46,52,64,70,39,39,46,46,89,46,73,46,41,21,20,48,52,7,5,46,41,93,82,32,20,68,39,48,77,73,43,68,64,89,46,Serie A
Monza,67z1gqyiuzpmmb15q5fy7ntc4,chjjcy789cuwlsik2ibmubtyi,A. Carboni,Andrea Carboni,25,Defender,Italy,Defender,17.0,1.0,9.0,0.0,25.0,1.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.76,0.0,100.0,0.0,0.0,33.33,50.0,0.0,0.0,0.1455194013604863,0.0,0.0,0.0,0.0,1.0,2.0,0.10492821,13.0,17.0,1.0,9.0,0.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.76,0.0,100.0,0.0,0.0,33.33,50.0,0.0,0.0,0.1455194013604863,0.0,0.0,0.0,0.0,1.0,2.0,0.10492821,13.0,LB/LCB,36,71,25,25,21,61,14,61,54,25,36,21,18,14,50,36,54,36,43,36,54,21,32,54,14,25,96,36,36,21,82,21,29,86,39,29,29,32,64,61,71,57,36,71,25,25,21,61,14,61,54,25,36,21,18,14,50,36,54,36,43,36,54,21,32,54,14,25,96,36,36,21,82,21,29,86,39,29,29,32,64,61,71,57,Serie A
Monza,67z1gqyiuzpmmb15q5fy7ntc4,dnoda2j8vhyppw1gt0s6x2044,E. Kouadio,Eddy Kouadio,20,Defender,Italy,Defender,19.0,0.0,4.0,2.0,23.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,82.14,33.33,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,4.0,2.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,82.14,33.33,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,25,46,7,55,18,36,23,14,52,21,23,39,39,29,46,39,14,27,46,41,100,52,48,52,25,27,46,41,39,43,32,50,29,39,48,32,32,43,25,25,21,21,25,46,7,55,18,36,23,14,52,21,23,39,39,29,46,39,14,27,46,41,100,52,48,52,25,27,46,41,39,43,32,50,29,39,48,32,32,43,25,25,21,21,Serie A
Monza,67z1gqyiuzpmmb15q5fy7ntc4,oxjqheti8zn0kf1l4b8psff8,M. Foe Ondoa,Manga Foe Ondoa,20,Midfielder,France,Midfielder,13.0,0.0,15.0,1.0,28.0,1.0,0.0,90.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,90.32,100.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0769516287108928,0.0,2.0,0.04888404,2.0,3.0,4.0,0.04594272,14.0,13.0,0.0,15.0,1.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,90.32,100.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0769516287108928,0.0,2.0,0.04888404,2.0,3.0,4.0,0.04594272,14.0,DM/CM,12,47,19,34,12,53,16,72,50,16,47,78,78,25,53,38,34,25,44,81,81,22,22,53,50,88,47,88,38,47,44,22,31,94,34,62,75,84,53,69,62,50,12,47,19,34,12,53,16,72,50,16,47,78,78,25,53,38,34,25,44,81,81,22,22,53,50,88,47,88,38,47,44,22,31,94,34,62,75,84,53,69,62,50,Serie A
