Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total big chances saved_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total big chances saved_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Aalesund,3impprc048nbz39w05s18c6yt,1242vj7llb0nr5t1zgdod905w,E. Osenbroch,Endre Osenbroch,22.0,Midfielder,Norway,Midfielder,67.0,5.0,169.0,11.0,231.0,1.0,3.0,32.0,28.0,10.0,18.0,13.0,35.0,36.0,52.0,8.0,5.0,5.0,1019.0,8.0,50.0,22.0,16.0,6.0,0.0,0.0,78.04,73.33,35.71,45.71,28.57,46.02,7.69,46.15,2.276377605027635,2.685203604968507,14.0,30.0,0.9059608399999995,15.0,27.0,38.0,1.79997,136.0,5.91756624141315,0.4416094210009813,14.926398429833167,0.9715407262021588,20.40235525024534,0.0883218842001962,0.2649656526005888,2.8263002944062805,2.4730127576054954,0.8832188420019627,1.5897939156035328,1.1481844946025517,3.0912659470068693,3.1795878312070656,4.592737978410206,0.7065750736015701,0.4416094210009813,0.4416094210009813,0.7065750736015701,4.416094210009813,1.9430814524043176,1.4131501472031402,0.5299313052011776,0.0,0.0,78.04,73.33,35.71,45.71,28.57,46.02,7.69,46.15,0.2010539592271709,0.237162241851978,1.2365063788027475,2.649656526005888,0.0800161684003925,1.324828263002944,2.384690873405299,3.356231599607458,0.1589767419038272,12.011776251226692,CM/AM,47,63,58,65,54,15,85,97,86,57,96,96,93,93,67,39,90,47,78,80,90,93,40,49,49,37,88,79,44,44,48,12,11,79,95,97,83,84,83,61,77,77,65,21,58,28,51,28,12,81,98,88,39,96,95,88,88,46,23,93,30,65,68,82,81,21,49,49,37,88,79,44,44,48,12,11,68,95,100,79,79,74,51,58,74,53,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,244tacw12kwpim1z0rz0pky22,E. Engqvist,Emil Engqvist,27.0,Defender,Sweden,Defender,185.0,0.0,105.0,15.0,290.0,16.0,0.0,3.0,5.0,4.0,1.0,1.0,0.0,0.0,32.0,54.0,0.0,15.0,643.0,0.0,8.0,3.0,0.0,7.0,1.0,0.0,83.33,39.47,0.0,0.0,0.0,59.26,64.0,53.85,0.5702768057478844,0.1175090223112628,0.0,9.0,0.1793717699999999,3.0,21.0,21.0,0.5812176499999999,184.0,25.894245723172627,0.0,14.696734059097976,2.0995334370139966,40.5909797822706,2.2395023328149297,0.0,0.4199066874027993,0.6998444790046656,0.5598755832037324,0.1399688958009331,0.1399688958009331,0.0,0.0,4.479004665629859,7.558320373250388,0.0,2.0995334370139966,0.0,1.1197511664074649,0.4199066874027993,0.0,0.9797822706065318,0.1399688958009331,0.0,83.33,39.47,0.0,0.0,0.0,59.26,64.0,53.85,0.0798210148014146,0.0164476080995546,0.0,1.2597200622083982,0.0251064685847589,0.4199066874027993,2.939346811819596,2.939346811819596,0.0813523926905132,25.754276827371694,CB,49,37,38,46,44,54,42,65,58,61,63,56,11,10,46,65,40,84,21,52,30,17,52,87,51,26,30,37,17,21,65,78,29,62,41,29,51,46,44,37,37,41,48,35,37,19,37,24,56,42,71,65,63,67,62,11,10,48,94,40,92,21,54,24,17,68,87,51,26,30,37,17,21,65,78,29,68,44,29,54,51,48,35,30,37,40,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,43anppywo7v1ydan12sq816ac,U. Charles,Uba Charles,23.0,Midfielder,Nigeria,Midfielder,88.0,19.0,200.0,8.0,269.0,12.0,2.0,22.0,14.0,13.0,1.0,4.0,78.0,82.0,98.0,37.0,0.0,15.0,1223.0,5.0,63.0,8.0,38.0,21.0,0.0,0.0,75.99,42.11,28.79,48.72,35.71,48.28,46.15,52.5,1.1402176257371452,2.113773720992264,3.0,43.0,1.4734065,21.0,15.0,27.0,2.26865497,119.0,6.4758789860997545,1.3982011447260834,14.717906786590351,0.588716271463614,19.795584627964026,0.8830744071954211,0.1471790678659035,1.6189697465249386,1.0302534750613246,0.9566639411283728,0.0735895339329517,0.294358135731807,5.739983646770237,6.034341782502044,7.211774325429272,2.722812755519215,0.0,1.1038430089942763,0.3679476696647588,4.636140637775961,0.588716271463614,2.7964022894521667,1.5453802125919869,0.0,0.0,75.99,42.11,28.79,48.72,35.71,48.28,46.15,52.5,0.0839080836601333,0.1555516229675419,0.2207686017988552,3.164349959116925,0.1084272976287816,1.5453802125919869,1.1038430089942763,1.9869174161896968,0.1669492618969746,8.75715453802126,CM/AM,65,90,70,54,65,81,73,86,54,69,22,59,100,100,98,100,23,90,59,91,41,100,93,49,49,25,37,63,51,67,54,57,25,49,86,57,95,95,94,42,54,86,60,28,82,26,26,23,61,61,67,23,44,16,26,100,100,86,93,23,81,39,77,19,100,68,49,49,25,37,63,51,67,54,57,25,23,70,37,89,86,84,16,25,81,19,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,4v39shau9mp6me6c42p230nah,H. Hammer,Håkon Hammer,26.0,Midfielder,Norway,Midfielder,96.0,1.0,132.0,12.0,227.0,6.0,2.0,11.0,11.0,7.0,4.0,5.0,11.0,11.0,34.0,15.0,0.0,6.0,677.0,2.0,15.0,7.0,5.0,9.0,0.0,0.0,83.76,60.0,33.33,45.45,18.18,53.12,42.86,56.25,1.0293478250793044,0.9649903618470888,3.0,13.0,0.29741037,11.0,26.0,23.0,0.7670294400000001,126.0,12.76218611521418,0.1329394387001477,17.548005908419498,1.5952732644017726,30.17725258493353,0.7976366322008863,0.2658788774002954,1.4623338257016247,1.4623338257016247,0.930576070901034,0.5317577548005908,0.6646971935007385,1.4623338257016247,1.4623338257016247,4.519940915805022,1.994091580502216,0.0,0.7976366322008863,0.2658788774002954,1.994091580502216,0.930576070901034,0.6646971935007385,1.1964549483013294,0.0,0.0,83.76,60.0,33.33,45.45,18.18,53.12,42.86,56.25,0.1368409220932605,0.1282852770550044,0.3988183161004431,1.7282127031019203,0.0395375676514032,1.4623338257016247,3.4564254062038406,3.057607090103397,0.1019684632200886,16.750369276218613,DM/CM,28,50,34,45,31,47,97,76,69,79,50,76,72,69,48,53,29,31,50,72,40,62,45,48,48,31,84,71,59,45,52,52,48,69,79,48,47,45,83,38,34,38,38,17,48,31,38,21,41,100,97,83,79,62,86,76,76,55,48,29,24,52,76,45,69,55,48,48,31,84,71,59,45,52,52,48,83,93,52,52,52,97,38,28,48,41,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,57d8deogl8yh6m7inliz3wfmc,S. Haram,Simen Haram,21.0,Defender,Norway,Defender,195.0,0.0,145.0,14.0,340.0,24.0,0.0,1.0,4.0,3.0,1.0,0.0,5.0,5.0,55.0,63.0,0.0,10.0,957.0,1.0,7.0,9.0,1.0,17.0,0.0,0.0,78.34,20.9,0.0,20.0,25.0,55.0,55.81,80.95,0.5131953156456875,0.0890551056711878,1.0,9.0,0.18813968,3.0,29.0,32.0,0.5732066499999997,198.0,18.338557993730408,0.0,13.636363636363637,1.316614420062696,31.974921630094045,2.2570532915360504,0.0,0.0940438871473354,0.3761755485893417,0.2821316614420063,0.0940438871473354,0.0,0.4702194357366771,0.4702194357366771,5.172413793103448,5.924764890282132,0.0,0.9404388714733544,0.0940438871473354,0.658307210031348,0.8463949843260189,0.0940438871473354,1.5987460815047023,0.0,0.0,78.34,20.9,0.0,20.0,25.0,55.0,55.81,80.95,0.0482628823491242,0.0083750883076352,0.0940438871473354,0.8463949843260189,0.0176933868338558,0.2821316614420063,2.7272727272727275,3.0094043887147337,0.0539065815047021,18.620689655172416,RB/RCB,67,6,38,42,42,92,27,6,23,38,23,8,38,38,58,88,29,50,38,27,60,17,60,38,52,46,8,6,15,56,58,75,92,38,8,31,23,21,25,50,54,17,54,62,6,12,33,46,79,27,4,12,25,21,8,25,21,54,96,29,46,38,8,42,12,54,38,52,46,8,6,15,56,58,75,92,25,4,29,17,8,8,25,25,4,58,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,59et8sb520h3kfg20a0qavd3o,M. Haagensen Reed,Marcus Haagensen Reed,18.0,Attacker,Norway,Striker,15.0,0.0,47.0,1.0,62.0,14.0,1.0,9.0,16.0,13.0,3.0,3.0,10.0,10.0,28.0,3.0,3.0,0.0,449.0,6.0,28.0,3.0,6.0,3.0,0.0,0.0,79.49,50.0,0.0,60.0,37.5,41.18,41.18,60.0,1.7920769623558916,0.700037456353695,5.0,15.0,0.7610164799999999,2.0,3.0,2.0,0.2145407999999999,19.0,3.0066815144766146,0.0,9.420935412026726,0.2004454342984409,12.42761692650334,2.8062360801781736,0.2004454342984409,1.8040089086859687,3.207126948775056,2.6057906458797326,0.6013363028953229,0.6013363028953229,2.0044543429844097,2.0044543429844097,5.612472160356347,0.6013363028953229,0.6013363028953229,0.0,1.2026726057906458,5.612472160356347,0.6013363028953229,1.2026726057906458,0.6013363028953229,0.0,0.0,79.49,50.0,0.0,60.0,37.5,41.18,41.18,60.0,0.3592136450156575,0.1403193119639923,1.0022271714922049,3.0066815144766146,0.1525422788418708,0.4008908685968819,0.6013363028953229,0.4008908685968819,0.0430037238307349,3.8084632516703785,ST,20,21,27,27,21,60,61,60,38,48,44,33,36,36,33,21,62,15,40,32,12,50,39,50,50,85,54,21,93,48,60,55,50,45,60,57,74,86,29,29,12,19,21,17,21,50,29,38,76,76,95,90,86,67,67,57,52,71,36,95,15,81,76,12,86,67,50,50,85,54,21,93,48,60,55,50,79,88,83,93,95,43,38,10,29,36,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,6fx5r6dpx906j16pisv670pnt,P. Aukland,Philip Aukland,27.0,Defender,Norway,Defender,116.0,0.0,66.0,8.0,182.0,10.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,20.0,35.0,0.0,4.0,385.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,79.13,25.81,0.0,66.67,0.0,50.0,50.0,83.33,0.2664411900971524,0.0,0.0,8.0,0.16677338,3.0,9.0,10.0,0.24917686,113.0,27.11688311688312,0.0,15.428571428571429,1.87012987012987,42.54545454545455,2.3376623376623376,0.0,0.2337662337662337,0.4675324675324675,0.4675324675324675,0.0,0.0,0.7012987012987013,0.7012987012987013,4.675324675324675,8.181818181818182,0.0,0.935064935064935,0.0,0.7012987012987013,0.4675324675324675,0.4675324675324675,1.1688311688311688,0.0,0.0,79.13,25.81,0.0,66.67,0.0,50.0,50.0,83.33,0.0622849535292044,0.0,0.0,1.87012987012987,0.0389859849350649,0.7012987012987013,2.103896103896104,2.3376623376623376,0.0582491361038961,26.415584415584416,CB,35,37,16,19,27,31,42,30,31,40,26,21,58,57,23,55,40,20,21,21,16,65,39,40,51,8,10,37,76,21,18,23,90,38,13,29,45,43,44,11,14,17,31,41,37,22,24,30,62,42,43,49,54,26,21,78,76,54,98,40,38,21,33,29,83,76,40,51,8,10,37,76,21,18,23,90,54,13,29,71,65,76,17,17,21,44,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,828b7y3phhpb62srvtrjhtgk4,I. Djantou,Ivan Djantou,24.0,Attacker,Cameroon,Striker,4.0,0.0,13.0,1.0,17.0,13.0,1.0,4.0,7.0,6.0,1.0,2.0,6.0,6.0,21.0,5.0,1.0,1.0,238.0,3.0,13.0,4.0,2.0,1.0,0.0,0.0,65.38,100.0,0.0,33.33,42.86,40.38,43.33,33.33,1.7091074199684484,0.2460700552503312,0.0,1.0,0.06442595,0.0,0.0,2.0,0.25305052,5.0,1.512605042016807,0.0,4.915966386554622,0.3781512605042016,6.428571428571429,4.915966386554622,0.3781512605042016,1.512605042016807,2.647058823529412,2.26890756302521,0.3781512605042016,0.7563025210084033,2.26890756302521,2.26890756302521,7.9411764705882355,1.8907563025210083,0.3781512605042016,0.3781512605042016,1.134453781512605,4.915966386554622,1.512605042016807,0.7563025210084033,0.3781512605042016,0.0,0.0,65.38,100.0,0.0,33.33,42.86,40.38,43.33,33.33,0.6463011251981527,0.0930517015652513,0.0,0.3781512605042016,0.0243627542016806,0.0,0.0,0.7563025210084033,0.0956913731092437,1.8907563025210083,ST,2,21,6,27,5,52,61,25,15,14,17,21,21,20,24,46,31,37,24,10,15,24,19,50,50,19,95,21,32,62,52,64,20,38,14,5,6,12,8,5,12,24,5,2,21,7,55,5,95,95,88,71,71,40,86,74,69,95,83,69,62,71,50,83,62,38,50,50,19,95,21,32,62,52,64,20,98,67,5,7,21,8,5,33,76,5,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,9ekhc0uvcelk125lc64unr5zo,M. Andresen,Marius Andresen,26.0,Defender,Norway,Defender,36.0,5.0,62.0,6.0,93.0,22.0,1.0,9.0,13.0,11.0,2.0,4.0,3.0,3.0,47.0,20.0,0.0,3.0,471.0,1.0,27.0,8.0,2.0,14.0,0.0,0.0,60.39,25.0,29.41,66.67,7.69,54.65,52.38,93.33,1.2204873878577016,1.053254987843948,4.0,9.0,0.3086056,3.0,7.0,7.0,1.12362289,38.0,6.8789808917197455,0.9554140127388536,11.847133757961783,1.1464968152866242,17.770700636942674,4.203821656050955,0.1910828025477706,1.7197452229299364,2.484076433121019,2.1019108280254777,0.3821656050955413,0.7643312101910827,0.5732484076433121,0.5732484076433121,8.980891719745223,3.821656050955414,0.0,0.5732484076433121,0.1910828025477706,5.159235668789809,1.5286624203821657,0.3821656050955413,2.6751592356687897,0.0,0.0,60.39,25.0,29.41,66.67,7.69,54.65,52.38,93.33,0.2332141505460576,0.2012589148746397,0.7643312101910827,1.7197452229299364,0.0589692229299363,0.5732484076433121,1.3375796178343948,1.3375796178343948,0.2147050108280254,7.261146496815287,RB/RCB,8,54,12,19,8,88,62,50,81,88,44,77,21,19,46,21,29,21,38,79,52,33,42,38,52,4,21,50,92,25,54,62,100,79,58,77,23,50,25,8,6,42,8,4,71,4,25,4,92,88,92,100,100,79,96,33,29,96,71,29,25,54,100,88,54,92,38,52,4,21,50,92,25,54,62,100,100,88,100,50,79,25,8,4,75,8,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,9g3owudnlgr4ubsltc3ezq4us,K. Lonebu,Kristian Lonebu,20.0,Attacker,Norway,Striker,59.0,0.0,106.0,4.0,165.0,17.0,1.0,15.0,34.0,31.0,3.0,8.0,23.0,24.0,52.0,4.0,5.0,0.0,1272.0,19.0,77.0,21.0,10.0,3.0,0.0,0.0,76.39,57.14,0.0,43.48,55.88,34.9,28.33,75.0,3.483452658310416,1.1289103222848698,14.0,31.0,1.0464335399999998,13.0,8.0,14.0,0.4524562,49.0,4.1745283018867925,0.0,7.5,0.2830188679245283,11.674528301886792,1.2028301886792454,0.070754716981132,1.0613207547169812,2.405660377358491,2.1933962264150946,0.2122641509433962,0.5660377358490566,1.627358490566038,1.69811320754717,3.679245283018868,0.2830188679245283,0.3537735849056604,0.0,1.3443396226415094,5.44811320754717,1.4858490566037736,0.7075471698113208,0.2122641509433962,0.0,0.0,76.39,57.14,0.0,43.48,55.88,34.9,28.33,75.0,0.2464707069559256,0.0798757303503445,0.9905660377358492,2.1933962264150946,0.0740401089622641,0.919811320754717,0.5660377358490566,0.9905660377358492,0.0320134103773584,3.466981132075472,ST,71,21,67,61,71,69,61,90,87,94,44,89,77,76,73,33,81,15,96,95,88,73,39,50,50,71,60,21,64,90,26,17,82,76,83,99,94,95,94,58,73,52,57,33,21,33,36,31,40,48,60,48,69,24,62,40,43,29,14,62,15,90,64,81,57,21,50,50,71,60,21,64,90,26,17,82,45,57,81,81,81,83,36,50,19,29,Eliteserien
