Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total big chances saved_Total,total duels won_Total,total effective clearance_Total,total mins played,total accurate cross_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total interception_Total,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total big chances saved_p90,total duels won_p90,total effective clearance_p90,total accurate cross_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total big chances saved_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total accurate cross_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total big chances saved_p90PR,total duels won_p90PR,total effective clearance_p90PR,total accurate cross_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,2dy1hq4zjtp1tmx54th5de5uc,S. Bartlewicz,Szymon Bartlewicz,20,Midfielder,Poland,Midfielder,5.0,16.0,1.0,20.0,1.0,0.0,2.0,0.0,107.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,60.61,100.0,25.0,0.0,50.0,25.0,0.0,0.0,0.1925138727394671,0.0,0.0,2.0,0.07020264,1.0,0.0,2.0,0.28011805,9.0,4.205607476635514,13.457943925233645,0.8411214953271028,16.822429906542055,0.8411214953271028,0.0,1.6822429906542056,0.0,0.8411214953271028,0.0,0.0,1.6822429906542056,1.6822429906542056,0.0,0.8411214953271028,0.8411214953271028,0.8411214953271028,0.8411214953271028,0.8411214953271028,3.364485981308411,0.8411214953271028,0.0,0.0,0.8411214953271028,0.0,60.61,100.0,25.0,0.0,50.0,25.0,0.0,0.0,0.1619275565098321,0.0,0.0,1.6822429906542056,0.0590489495327102,0.8411214953271028,0.0,1.6822429906542056,0.2356133130841121,7.570093457943925,RM/RCM,12,10,38,10,24,52,5,10,40,38,10,31,50,21,64,10,10,33,45,21,19,10,17,76,52,10,98,55,10,79,5,21,17,43,14,19,21,29,31,12,21,48,14,24,29,48,19,43,52,5,10,62,38,10,57,81,21,71,14,14,62,71,57,43,10,17,90,52,10,98,55,10,79,5,21,17,57,14,19,38,52,48,12,24,76,24,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,2pdy64dhznfn9tu2ahy3ef5qt,B. Nowak,Bartosz Nowak,33,Midfielder,Poland,Midfielder,19.0,70.0,3.0,80.0,2.0,0.0,11.0,3.0,359.0,9.0,4.0,13.0,8.0,5.0,3.0,4.0,7.0,8.0,3.0,2.0,20.0,2.0,4.0,2.0,1.0,0.0,72.73,50.0,32.14,57.14,25.0,47.83,50.0,66.67,0.6608983016515702,1.2437664825877837,2.0,7.0,0.17970435,1.0,8.0,13.0,0.7439883800000001,34.0,4.763231197771588,17.54874651810585,0.7520891364902507,20.055710306406684,0.5013927576601671,0.0,2.75766016713092,0.7520891364902507,2.256267409470752,1.0027855153203342,3.2590529247910864,2.0055710306406684,1.2534818941504178,0.7520891364902507,1.0027855153203342,1.7548746518105849,2.0055710306406684,0.7520891364902507,0.5013927576601671,5.013927576601671,0.5013927576601671,1.0027855153203342,0.5013927576601671,0.2506963788300835,0.0,72.73,50.0,32.14,57.14,25.0,47.83,50.0,66.67,0.1656848109990008,0.3118077532949875,0.5013927576601671,1.7548746518105849,0.0450512298050139,0.2506963788300835,2.0055710306406684,3.2590529247910864,0.1865151927576601,8.52367688022284,CM/AM,44,68,56,58,61,51,39,57,95,100,95,81,76,74,88,74,76,87,63,98,27,80,45,75,50,10,43,60,70,50,44,71,54,74,93,54,64,60,23,62,74,83,51,21,40,38,24,40,51,10,36,88,98,95,64,69,52,79,50,55,71,57,81,14,64,29,71,50,10,43,60,70,50,44,71,54,57,90,40,36,33,12,43,55,79,31,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,2vdsve6yhop4tq3hwqsv233hm,I. Shkurin,Ilya Shkurin,27,Attacker,Belarus,Striker,17.0,29.0,4.0,46.0,15.0,0.0,25.0,1.0,322.0,0.0,1.0,5.0,12.0,11.0,1.0,2.0,3.0,3.0,0.0,4.0,29.0,6.0,3.0,1.0,2.0,0.0,66.67,80.0,0.0,100.0,33.33,42.37,44.12,100.0,1.6118380611219565,0.2859361085631178,1.0,1.0,0.03511326,1.0,2.0,2.0,0.1338649299999998,12.0,4.751552795031055,8.105590062111801,1.1180124223602483,12.857142857142856,4.192546583850931,0.0,6.987577639751552,0.2795031055900621,0.0,0.2795031055900621,1.3975155279503104,3.354037267080745,3.074534161490683,0.2795031055900621,0.5590062111801242,0.8385093167701863,0.8385093167701863,0.0,1.1180124223602483,8.105590062111801,1.6770186335403725,0.8385093167701863,0.2795031055900621,0.5590062111801242,0.0,66.67,80.0,0.0,100.0,33.33,42.37,44.12,100.0,0.4505137437918511,0.0799200303437285,0.2795031055900621,0.2795031055900621,0.0098142652173913,0.2795031055900621,0.5590062111801242,0.5590062111801242,0.0374156636645962,3.354037267080745,ST,83,64,97,78,92,50,86,29,39,90,83,75,83,38,47,56,53,28,78,97,75,78,58,85,51,43,81,39,94,47,42,44,89,86,69,36,26,26,60,53,35,58,50,56,53,92,53,83,50,81,19,39,89,69,58,72,28,28,42,39,28,61,97,72,67,47,78,51,43,81,39,94,47,42,44,89,86,56,33,22,22,64,42,28,47,36,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,4k6q76mgnuplycboirg98tzh1,A. Czerwiński,Alan Czerwinski,33,Defender,Poland,Defender,41.0,37.0,3.0,77.0,3.0,0.0,7.0,7.0,145.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,85.56,37.5,25.0,0.0,0.0,50.0,60.0,100.0,0.0702686505629405,0.1311173204624295,0.0,4.0,0.08070595,3.0,10.0,7.0,0.2377575,49.0,25.448275862068964,22.96551724137931,1.862068965517241,47.79310344827586,1.862068965517241,0.0,4.344827586206897,4.344827586206897,0.6206896551724138,0.0,0.6206896551724138,0.6206896551724138,0.0,0.6206896551724138,0.6206896551724138,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.0,2.4827586206896552,0.0,0.0,85.56,37.5,25.0,0.0,0.0,50.0,60.0,100.0,0.0436150244873423,0.0813831644249562,0.0,2.4827586206896552,0.050093348275862,1.862068965517241,6.206896551724138,4.344827586206897,0.1475736206896551,30.41379310344828,RB/RCB,38,31,37,35,62,44,27,25,46,42,23,46,25,75,83,17,17,17,35,10,8,25,63,48,52,62,37,54,25,35,50,85,100,50,35,37,62,50,88,69,46,35,60,77,77,65,88,85,44,46,65,58,42,31,58,25,85,100,17,17,27,35,10,8,25,92,48,52,62,37,54,25,35,50,85,100,58,54,37,81,81,100,96,77,69,92,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,4w0adddkbx4642lkebbcmxbzd,E. Marković,Eman Markovic,27,Midfielder,Norway,Midfielder,10.0,51.0,1.0,59.0,0.0,0.0,12.0,1.0,224.0,2.0,0.0,1.0,11.0,10.0,1.0,3.0,9.0,9.0,0.0,4.0,19.0,3.0,5.0,4.0,1.0,0.0,86.76,50.0,15.38,55.56,36.36,52.17,0.0,100.0,1.0576262448395863,0.0620166016381178,4.0,7.0,0.1964619699999999,4.0,4.0,7.0,0.28926849,34.0,4.017857142857142,20.491071428571427,0.4017857142857143,23.705357142857142,0.0,0.0,4.821428571428571,0.4017857142857143,0.8035714285714286,0.0,0.4017857142857143,4.419642857142857,4.017857142857142,0.4017857142857143,1.2053571428571428,3.616071428571429,3.616071428571429,0.0,1.6071428571428572,7.633928571428571,1.2053571428571428,2.008928571428571,1.6071428571428572,0.4017857142857143,0.0,86.76,50.0,15.38,55.56,36.36,52.17,0.0,100.0,0.4249391162301909,0.0249173845867437,1.6071428571428572,2.8125,0.0789356129464285,1.6071428571428572,1.6071428571428572,2.8125,0.116223946875,13.660714285714285,CM/AM,18,55,23,36,11,51,46,19,52,39,14,89,98,29,79,85,83,12,89,95,40,89,71,75,50,83,43,33,67,71,60,12,89,95,17,88,64,62,65,36,42,52,51,19,60,20,36,11,51,52,18,48,39,8,93,98,31,90,88,86,12,90,98,38,93,79,81,50,83,43,33,67,71,60,12,89,95,12,86,69,71,69,29,43,52,57,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,5b7b7r7i8p979803noj3wez11,B. Wolski,Bartosz Wolski,29,Midfielder,Poland,Midfielder,59.0,99.0,13.0,153.0,5.0,0.0,17.0,4.0,325.0,5.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,88.95,81.25,62.5,0.0,0.0,65.38,83.33,50.0,0.0399515143600473,0.5787677829890827,1.0,12.0,0.25498537,5.0,29.0,33.0,1.2064718400000003,103.0,16.338461538461537,27.41538461538461,3.6,42.36923076923077,1.3846153846153846,0.0,4.707692307692308,1.1076923076923078,1.3846153846153846,0.0,1.3846153846153846,0.2769230769230769,0.0,0.2769230769230769,0.0,0.0,0.0,0.2769230769230769,0.0,0.2769230769230769,1.6615384615384614,0.0,0.8307692307692307,0.0,0.0,88.95,81.25,62.5,0.0,0.0,65.38,83.33,50.0,0.0110634962843207,0.1602741552892844,0.2769230769230769,3.323076923076923,0.0706113332307692,1.3846153846153846,8.03076923076923,9.138461538461538,0.3340998941538462,28.52307692307692,CM/AM,87,86,98,86,92,51,68,71,81,39,63,11,12,29,14,4,2,44,20,8,63,13,62,32,50,95,88,98,13,20,100,99,31,5,76,27,81,81,73,99,98,98,95,88,86,95,88,86,51,48,57,76,39,49,5,12,21,14,4,2,37,20,7,45,13,48,32,50,95,88,98,13,20,100,99,31,2,57,24,76,67,57,100,100,98,100,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,6mjhepo267xtrt1bqre1dsq8l,L. Klemenz,Lukas Klemenz,30,Defender,Poland,Defender,65.0,36.0,2.0,101.0,9.0,0.0,19.0,16.0,260.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,81.45,20.0,0.0,100.0,0.0,57.58,64.29,40.0,0.2557280867663853,0.0,0.0,1.0,0.01685596,0.0,6.0,7.0,0.15251949,49.0,22.5,12.461538461538462,0.6923076923076923,34.96153846153846,3.1153846153846154,0.0,6.576923076923077,5.538461538461538,0.0,0.0,0.3461538461538461,0.6923076923076923,0.6923076923076923,0.0,0.0,0.3461538461538461,0.3461538461538461,1.0384615384615383,0.0,1.3846153846153846,1.3846153846153846,0.3461538461538461,0.6923076923076923,0.0,0.0,81.45,20.0,0.0,100.0,0.0,57.58,64.29,40.0,0.0885212608037487,0.0,0.0,0.3461538461538461,0.0058347553846153,0.0,2.076923076923077,2.423076923076923,0.052795208076923,16.961538461538463,CB,44,42,15,38,70,47,80,52,43,42,59,63,69,38,34,67,65,59,38,62,87,78,59,43,51,16,12,43,93,38,56,67,35,65,26,36,51,43,34,43,51,44,37,37,40,14,23,77,47,93,51,43,42,65,65,74,38,34,65,63,70,38,63,86,77,56,43,51,16,12,43,93,38,56,67,35,72,26,36,56,47,34,47,56,44,37,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,8fgscsdgytvhw5y6mlthxtrdh,E. Jirka,Erik Jirka,28,Midfielder,Slovakia,Midfielder,22.0,56.0,4.0,74.0,2.0,0.0,12.0,3.0,216.0,4.0,0.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,3.0,1.0,10.0,2.0,2.0,3.0,0.0,0.0,77.89,33.33,33.33,66.67,33.33,42.86,33.33,50.0,0.170719431389996,0.2684589905777373,1.0,7.0,0.1444598,5.0,8.0,17.0,0.73868548,47.0,9.166666666666668,23.333333333333336,1.6666666666666667,30.833333333333336,0.8333333333333334,0.0,5.0,1.25,1.6666666666666667,0.0,1.25,1.25,0.4166666666666667,0.8333333333333334,0.0,1.25,1.25,1.25,0.4166666666666667,4.166666666666667,0.8333333333333334,0.8333333333333334,1.25,0.0,0.0,77.89,33.33,33.33,66.67,33.33,42.86,33.33,50.0,0.0711330964124983,0.1118579127407238,0.4166666666666667,2.916666666666667,0.0601915833333333,2.083333333333333,3.333333333333333,7.083333333333334,0.3077856166666667,19.583333333333336,RM/RCM,64,76,76,76,57,52,67,60,74,38,60,50,21,64,26,29,26,76,45,74,43,62,83,31,52,38,43,69,83,40,40,60,50,38,62,48,60,52,83,81,90,86,83,67,86,76,81,38,52,69,57,76,38,57,33,19,57,26,33,33,76,43,81,38,57,86,31,52,38,43,69,83,40,40,60,50,24,62,52,67,57,90,81,95,95,90,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,a0zpetflr8gttr03gfqjvxi39,Borja Galán,Borja Galán,33,Midfielder,Spain,Midfielder,23.0,38.0,4.0,59.0,2.0,0.0,7.0,4.0,206.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,4.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,78.67,57.14,25.0,33.33,0.0,43.75,50.0,0.0,0.2831711238828208,0.3125189116582111,2.0,3.0,0.13625122,2.0,2.0,5.0,0.4983680499999999,21.0,10.04854368932039,16.601941747572816,1.7475728155339807,25.776699029126217,0.8737864077669903,0.0,3.058252427184466,1.7475728155339807,0.8737864077669903,0.4368932038834952,1.3106796116504855,1.7475728155339807,1.3106796116504855,0.4368932038834952,0.8737864077669903,1.3106796116504855,1.7475728155339807,0.0,0.0,4.368932038834951,1.7475728155339807,0.4368932038834952,0.0,0.0,0.0,78.67,57.14,25.0,33.33,0.0,43.75,50.0,0.0,0.1237155395604557,0.1365373885885388,0.8737864077669903,1.3106796116504855,0.0595272320388349,0.8737864077669903,0.8737864077669903,2.184466019417476,0.2177336140776698,9.1747572815534,LM/LCM,56,50,81,56,56,50,22,66,69,84,50,53,66,34,72,25,28,16,22,69,50,22,16,38,53,56,69,75,19,22,25,69,16,44,62,62,28,38,44,41,44,69,44,75,69,100,62,62,50,12,69,69,94,56,56,81,44,62,25,25,16,22,69,81,25,16,38,53,56,69,75,19,22,25,69,16,56,56,56,25,38,50,44,69,88,62,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,ah6vnv6ucqsj05pj9ofmmfhlh,M. Wdowiak,Mateusz Wdowiak,29,Midfielder,Poland,Midfielder,22.0,36.0,2.0,54.0,2.0,0.0,9.0,2.0,154.0,4.0,0.0,5.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,0.0,7.0,1.0,3.0,2.0,0.0,0.0,90.0,40.0,66.67,60.0,0.0,47.37,40.0,66.67,0.2560295895234862,0.5876993709027872,2.0,9.0,0.3045605399999999,0.0,1.0,4.0,0.8202333800000001,18.0,12.857142857142858,21.03896103896104,1.168831168831169,31.55844155844156,1.168831168831169,0.0,5.25974025974026,1.168831168831169,2.337662337662338,0.0,2.9220779220779223,1.7532467532467533,1.168831168831169,0.5844155844155845,0.5844155844155845,2.9220779220779223,2.9220779220779223,0.5844155844155845,0.0,4.090909090909091,0.5844155844155845,1.7532467532467533,1.168831168831169,0.0,0.0,90.0,40.0,66.67,60.0,0.0,47.37,40.0,66.67,0.1496276821890503,0.3434606713068237,1.168831168831169,5.25974025974026,0.1779899259740259,0.0,0.5844155844155845,2.337662337662338,0.4793571701298702,10.51948051948052,RM/RCM,64,48,55,52,57,52,36,38,74,38,79,50,50,48,64,67,64,33,12,57,19,74,57,31,52,90,55,98,74,12,60,74,64,52,81,64,81,81,10,26,36,90,38,90,76,62,86,71,52,76,52,86,38,90,62,57,52,67,67,67,38,12,76,14,81,76,31,52,90,55,98,74,12,60,74,64,52,100,71,86,86,10,29,52,100,52,Ekstraklasa
