Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total goals_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total accurate cross_Total,total accurate long balls_Total,total aerial won_Total,total att assist_Total,total effective clearance_Total,total interception_Total,total won tackle_Total,total won contest_Total,total big chances saved_Total,total assists_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total goals_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total accurate cross_p90,total accurate long balls_p90,total aerial won_p90,total att assist_p90,total effective clearance_p90,total interception_p90,total won tackle_p90,total won contest_p90,total big chances saved_p90,total assists_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total accurate cross_TotalPR,total accurate long balls_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total won tackle_TotalPR,total won contest_TotalPR,total big chances saved_TotalPR,total assists_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total accurate cross_p90PR,total accurate long balls_p90PR,total aerial won_p90PR,total att assist_p90PR,total effective clearance_p90PR,total interception_p90PR,total won tackle_p90PR,total won contest_p90PR,total big chances saved_p90PR,total assists_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Aberdeen,841zp0njrq63yv4fvw6lgf60q,4bu2v4f3cdx0hxdxo23q1aoa2,N. Guinness-Walker,Nesta Guinness-Walker,26.0,Defender,England,Defender,26.0,32.0,57.0,0.0,0.0,0.0,0.0,4.0,4.0,19.0,0.0,173.0,0.0,0.0,7.0,1.0,6.0,4.0,0.0,9.0,3.0,3.0,3.0,0.0,0.0,74.03,46.15,14.29,75.0,0.0,73.08,57.14,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.52601156069364,16.647398843930635,29.653179190751445,0.0,0.0,0.0,0.0,2.0809248554913293,2.0809248554913293,9.884393063583817,0.0,0.0,0.0,3.6416184971098255,0.5202312138728323,3.121387283236994,2.0809248554913293,0.0,4.682080924855491,1.560693641618497,1.560693641618497,1.560693641618497,0.0,0.0,74.03,46.15,14.29,75.0,0.0,73.08,57.14,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,54,64,61,32,43,39,43,71,68,100,50,43,18,100,50,82,61,18,71,86,75,89,54,43,43,71,50,93,43,93,71,68,36,21,50,29,29,29,21,21,21,21,50,57,50,32,43,39,43,64,64,86,50,43,18,93,50,86,64,18,57,89,68,86,54,43,43,71,50,93,43,93,71,68,36,21,50,29,29,29,21,21,21,21,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,4w3ipvncxgip8rxi2sf0l971l,K. Nisbet,Kevin Nisbet,29.0,Attacker,Scotland,Striker,4.0,9.0,13.0,5.0,4.0,1.0,2.0,1.0,1.0,7.0,1.0,180.0,2.0,11.0,1.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,52.0,0.0,0.0,100.0,40.0,38.89,41.67,0.0,0.4607686352826339,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.10839472,9.0,2.0,4.5,6.5,2.5,2.0,0.5,1.0,0.5,0.5,3.5,0.5,1.0,5.5,0.5,0.0,0.0,2.5,0.5,1.5,0.0,0.0,0.5,0.0,0.5,52.0,0.0,0.0,100.0,40.0,38.89,41.67,0.0,0.2303843176413169,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.05419736,4.5,ST,31,15,21,67,67,63,75,31,27,50,79,71,79,27,33,31,85,23,79,35,21,60,50,83,8,31,33,94,54,54,69,21,58,10,31,12,12,23,54,75,50,63,19,4,8,60,62,58,67,23,19,35,75,67,58,17,33,31,81,17,73,35,21,52,50,77,8,31,33,94,54,54,69,21,54,10,31,12,12,23,52,69,46,54,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,77flvpigla5xf7spyu6trwo2x,D. Happe,Dan Happe,27.0,Defender,England,Defender,69.0,34.0,103.0,4.0,4.0,0.0,0.0,0.0,0.0,17.0,0.0,180.0,2.0,8.0,0.0,0.0,14.0,13.0,1.0,22.0,3.0,2.0,0.0,0.0,0.0,83.06,60.87,0.0,0.0,50.0,85.0,92.86,50.0,0.5326576433729943,0.0417157340525691,0.0,0.0,0.0,0.0,9.0,8.0,0.18136777,66.0,34.5,17.0,51.5,2.0,2.0,0.0,0.0,0.0,0.0,8.5,0.0,1.0,4.0,0.0,0.0,7.0,6.5,0.5,11.0,1.5,1.0,0.0,0.0,0.0,83.06,60.87,0.0,0.0,50.0,85.0,92.86,50.0,0.2663288216864971,0.0208578670262845,0.0,0.0,0.0,0.0,4.5,4.0,0.090683885,33.0,CB,68,64,68,98,100,43,41,30,30,77,45,98,98,23,48,100,86,59,82,68,73,32,45,52,36,77,48,32,89,86,100,39,100,59,43,27,27,41,84,73,64,73,59,64,59,98,100,43,41,30,30,86,45,100,98,23,48,98,91,59,95,68,73,32,45,52,36,77,48,32,89,86,100,39,100,59,43,27,27,41,93,70,64,68,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,8a3sqpvhe5l3dcez6r4vvbjhm,A. Aremu,Afeez Aremu,26.0,Midfielder,Nigeria,Midfielder,24.0,25.0,49.0,1.0,0.0,1.0,0.0,2.0,2.0,9.0,0.0,118.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,83.05,87.5,0.0,50.0,0.0,56.25,33.33,75.0,0.0452763982208466,0.0,1.0,2.0,0.04255496,2.0,8.0,7.0,0.15091198,22.0,18.30508474576272,19.06779661016949,37.3728813559322,0.7627118644067796,0.0,0.7627118644067796,0.0,1.5254237288135593,1.5254237288135593,6.864406779661017,0.0,0.0,0.0,2.288135593220339,0.0,5.338983050847458,0.7627118644067796,0.0,0.7627118644067796,1.5254237288135593,2.288135593220339,0.7627118644067796,0.0,0.0,83.05,87.5,0.0,50.0,0.0,56.25,33.33,75.0,0.0345328461006457,0.0,0.7627118644067796,1.5254237288135593,0.0324571728813559,1.5254237288135593,6.101694915254237,5.338983050847458,0.1151023576271186,16.779661016949152,DM/CM,23,27,23,36,23,59,32,55,52,43,48,41,11,64,39,95,34,18,36,50,61,45,52,50,45,91,39,45,41,64,41,75,41,20,64,52,55,73,75,64,45,27,45,41,36,45,23,68,32,77,77,59,48,41,11,77,39,100,45,18,50,64,77,73,52,50,45,91,39,45,41,64,41,75,41,20,82,59,64,82,86,77,59,45,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,99h9xs07yghgz8erbeysxdec,T. Yogane,Tony Yogane,20.0,Attacker,England,Striker,2.0,9.0,11.0,2.0,0.0,2.0,2.0,5.0,6.0,10.0,0.0,118.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,68.75,0.0,0.0,80.0,0.0,58.82,37.5,0.0,0.1145597600200605,0.0,2.0,2.0,0.05914719,1.0,1.0,2.0,0.0340437599999999,2.0,1.5254237288135593,6.864406779661017,8.389830508474576,1.5254237288135593,0.0,1.5254237288135593,1.5254237288135593,3.8135593220338975,4.576271186440678,7.627118644067797,0.0,0.0,0.0,1.5254237288135593,0.0,0.0,2.288135593220339,0.0,0.0,0.7627118644067796,0.0,3.0508474576271185,0.0,0.0,68.75,0.0,0.0,80.0,0.0,58.82,37.5,0.0,0.0873760881508936,0.0,1.5254237288135593,1.5254237288135593,0.045112263559322,0.7627118644067796,0.7627118644067796,1.5254237288135593,0.0259655796610168,1.5254237288135593,LM/LCM,33,33,33,100,50,100,100,67,67,67,67,67,33,67,33,50,67,33,33,50,33,83,67,67,33,50,33,100,67,67,67,33,100,33,100,50,67,33,33,33,33,33,33,33,33,100,50,100,100,100,100,67,67,67,33,67,33,50,100,33,33,67,33,100,67,67,33,50,33,100,67,67,67,33,100,33,100,100,100,67,33,33,33,33,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,9coe01drgpmlz3ee9qfond815,L. Mayo,Lewis Mayo,26.0,Defender,Scotland,Defender,42.0,20.0,62.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,154.0,1.0,2.0,0.0,0.0,3.0,6.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,83.78,50.0,0.0,0.0,50.0,58.33,66.67,0.0,0.3513924668457934,0.0,0.0,1.0,0.01685596,0.0,4.0,5.0,0.11283419,34.0,24.545454545454547,11.688311688311687,36.23376623376623,1.168831168831169,1.168831168831169,0.0,0.0,0.0,0.0,4.090909090909091,0.5844155844155845,0.5844155844155845,1.168831168831169,0.0,0.0,1.7532467532467533,3.5064935064935066,0.0,13.441558441558442,1.168831168831169,0.0,0.0,0.0,0.0,83.78,50.0,0.0,0.0,50.0,58.33,66.67,0.0,0.2053592338709182,0.0,0.0,0.5844155844155845,0.0098508857142857,0.0,2.337662337662338,2.9220779220779223,0.0659420590909091,19.87012987012988,CB,23,39,27,70,75,43,41,30,30,41,95,82,50,23,48,39,59,20,89,57,18,32,45,52,50,66,48,32,89,32,64,18,82,27,43,64,55,41,59,55,41,45,23,36,23,82,91,43,41,30,30,32,100,91,45,23,48,41,55,20,100,59,18,32,45,52,50,66,48,32,89,32,64,18,91,27,43,68,64,41,59,55,50,50,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,atf7aycphllb4i8h9jnld4bmd,B. Lyons,Brad Lyons,29.0,Midfielder,Northern Ireland,Midfielder,21.0,19.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,90.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,83.33,66.67,0.0,0.0,0.0,61.54,33.33,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,83.33,66.67,0.0,0.0,0.0,61.54,33.33,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,18,11,16,16,23,25,32,7,7,32,48,41,36,64,39,70,34,18,80,50,32,14,52,50,55,75,39,14,41,77,41,25,16,20,30,14,14,23,9,11,9,9,59,36,48,16,23,25,32,7,7,84,48,41,55,93,39,91,55,18,95,80,70,14,52,50,55,75,39,14,41,77,41,25,16,20,30,14,14,23,9,11,9,9,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,axnmil0bg1giwhoa31tks7ljp,S. Armstrong,Stuart Armstrong,34.0,Midfielder,Scotland,Midfielder,14.0,42.0,51.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,107.0,0.0,3.0,2.0,5.0,2.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,78.46,22.22,62.5,0.0,0.0,40.0,0.0,50.0,0.0,0.5893230099900396,0.0,1.0,0.02401521,1.0,13.0,11.0,0.4414665699999999,34.0,11.77570093457944,35.32710280373832,42.89719626168225,0.0,0.0,0.0,0.0,1.6822429906542056,1.6822429906542056,3.364485981308411,0.0,0.0,2.5233644859813085,1.6822429906542056,4.205607476635514,1.6822429906542056,0.0,4.205607476635514,2.5233644859813085,0.8411214953271028,0.8411214953271028,0.0,0.0,0.0,78.46,22.22,62.5,0.0,0.0,40.0,0.0,50.0,0.0,0.4956922513934912,0.0,0.8411214953271028,0.0201997093457943,0.8411214953271028,10.934579439252335,9.25233644859813,0.371327021495327,28.59813084112149,CM/AM,56,78,78,11,17,28,22,39,39,17,39,22,22,61,100,56,22,94,78,56,50,22,56,56,44,22,100,22,22,44,28,44,17,100,28,33,33,61,100,89,89,89,100,89,89,11,17,28,22,56,56,44,39,22,33,67,100,78,22,100,100,67,67,22,56,56,44,22,100,22,22,44,28,44,17,100,28,33,33,78,100,89,100,100,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,cs5ejx87ge8am8ir8w0lj4wk5,C. Cadden,Chris Cadden,29.0,Defender,Scotland,Defender,9.0,23.0,31.0,3.0,2.0,1.0,1.0,2.0,2.0,9.0,0.0,163.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,6.0,1.0,4.0,0.0,0.0,0.0,59.62,33.33,9.09,0.0,33.33,52.94,50.0,80.0,0.2374744688997009,0.0,2.0,2.0,0.03867189,0.0,3.0,3.0,0.1366987599999999,13.0,4.969325153374233,12.699386503067483,17.116564417177916,1.656441717791411,1.1042944785276074,0.5521472392638037,0.5521472392638037,1.1042944785276074,1.1042944785276074,4.969325153374233,0.0,0.5521472392638037,1.1042944785276074,0.5521472392638037,0.5521472392638037,0.5521472392638037,1.656441717791411,0.0,3.312883435582822,0.5521472392638037,2.208588957055215,0.0,0.0,0.0,59.62,33.33,9.09,0.0,33.33,52.94,50.0,80.0,0.1311208723986078,0.0,1.1042944785276074,1.1042944785276074,0.0213525773006134,0.0,1.656441717791411,1.656441717791411,0.0754778429447852,7.177914110429448,RB/RCB,18,43,14,100,96,96,79,82,82,64,54,100,46,25,68,18,71,29,43,18,96,32,43,54,7,39,64,32,100,29,64,68,93,36,100,68,64,29,46,46,50,43,7,43,7,93,100,93,86,86,86,57,54,100,50,36,71,21,64,29,29,21,93,32,43,54,7,39,64,32,100,29,64,68,100,36,100,64,64,29,43,43,57,43,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,eosd8dmfqtaol3dnkypyswn3d,T. Olusanya,Toyosi Olusanya,28.0,Attacker,England,Striker,1.0,17.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,177.0,0.0,9.0,5.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,69.57,0.0,66.67,0.0,0.0,35.71,20.0,100.0,0.0,0.3560284502653881,0.0,3.0,0.1112695299999999,1.0,0.0,0.0,0.19217597,3.0,0.5084745762711864,8.64406779661017,8.135593220338983,0.0,0.0,0.0,0.0,0.5084745762711864,0.5084745762711864,5.084745762711865,0.0,0.0,4.576271186440678,2.5423728813559325,1.0169491525423728,0.0,1.0169491525423728,1.5254237288135597,0.0,0.0,1.5254237288135597,0.0,0.0,0.0,69.57,0.0,66.67,0.0,0.0,35.71,20.0,100.0,0.0,0.1810314153891804,0.0,1.5254237288135597,0.056577727118644,0.5084745762711864,0.0,0.0,0.0977165949152542,1.5254237288135597,ST,8,67,33,4,6,27,23,31,27,75,33,10,58,96,85,31,48,65,19,35,98,23,50,37,42,31,96,23,10,38,37,90,8,85,31,77,73,62,23,13,69,17,8,50,19,4,6,27,23,31,27,50,33,10,50,96,81,31,46,58,19,35,92,23,50,37,42,31,96,23,10,38,37,90,8,77,31,65,69,54,23,13,58,12,Premiership
